puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,0,0,0,0,0,0,0,0,0,0,191,191,0,191,0,0,191
3200101,0,0,0,0,1,0,0,0,0,0,119,0,0,0,0,0,119
3200101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,0,0,0,1,0,10,0,0,0,0,0,0,0,10,10,10,10
3200101,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,0,0,0,1,1,0,0,86,0,0,0,86,0,86,86,86,86
3200101,1,1,0,1,1,12,0,0,0,0,0,0,0,0,0,0,12
3200101,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,6,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,71
3200101,6,0,0,1,1,0,0,0,0,0,224,224,0,0,0,0,224
3200101,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,10,0,0,0,0,0,0,0,0,0,242,0,0,242,0,0,242
3200101,10,0,0,0,0,0,0,0,0,0,231,0,0,231,231,0,231
3200101,12,0,0,0,0,0,0,0,0,0,96,0,0,96,0,0,96
3200101,13,0,0,0,0,0,0,0,0,0,126,0,0,126,126,0,126
3200101,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,13,0,0,0,0,37,0,37,0,0,37,0,0,0,0,0,37
3200101,14,1,1,1,0,0,0,0,0,0,56,0,0,0,0,0,56
3200101,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,22,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,82
3200101,22,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,58
3200101,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,24,0,0,0,0,0,0,0,0,0,204,0,0,204,0,0,204
3200101,24,0,0,0,0,0,0,0,0,0,105,0,105,0,105,0,105
3200101,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,31,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,34,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,35,0,0,0,0,0,0,0,0,0,88,0,88,88,88,0,88
3200101,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,39,1,0,1,0,0,0,0,0,0,138,0,0,0,0,0,138
3200101,41,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48
3200101,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,42,0,0,0,0,0,0,0,0,0,53,0,53,53,53,0,53
3200101,42,0,0,0,0,0,57,0,0,0,57,0,0,57,0,0,57
3200101,46,0,0,0,0,0,0,0,0,0,230,0,0,230,230,0,230
3200101,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,53,0,0,0,1,62,0,0,0,0,62,0,0,0,0,0,62
3200101,58,0,0,0,0,0,0,0,0,0,269,0,269,0,0,0,269
3200101,58,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,63,0,0,0,0,0,0,0,0,0,0,71,0,71,0,71,71
3200101,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,67,0,0,0,0,0,0,0,0,0,65,0,65,65,65,0,65
3200101,69,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,74,0,0,0,0,0,0,0,0,0,27,0,0,27,27,0,27
3200101,74,0,0,1,1,0,0,0,0,0,0,132,0,0,0,132,132
3200101,75,0,0,0,0,0,65,0,0,0,65,0,65,65,0,0,65
3200101,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,78,0,0,1,1,0,0,0,0,0,0,254,0,0,0,0,254
3200101,79,0,0,0,0,0,0,0,0,0,68,0,0,68,0,0,68
3200101,79,0,0,0,0,18,0,0,0,0,0,0,0,18,18,0,18
3200101,82,0,0,0,0,40,0,40,0,0,40,0,0,0,40,0,40
3200101,84,0,1,1,0,0,0,0,0,0,59,0,0,59,59,0,59
3200101,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,85,0,1,1,0,0,0,0,0,0,252,252,0,0,252,252,252
3200101,86,0,0,0,0,0,0,0,0,0,66,0,66,66,0,0,66
3200101,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,87,0,0,0,1,0,0,0,0,0,243,0,0,0,0,0,243
3200101,87,0,0,0,1,8,0,0,0,0,0,0,0,8,8,0,8
3200101,87,0,0,1,1,0,0,0,0,0,85,0,0,0,85,0,85
3200101,87,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,88,1,0,1,1,0,0,0,0,0,55,0,55,55,0,0,55
3200101,95,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,278
3200101,95,0,0,0,0,7,0,0,0,0,0,0,0,7,7,0,7
3200101,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,98,0,0,0,0,0,0,0,0,0,53,0,0,53,0,0,53
3200101,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,102,0,0,1,0,0,72,0,0,0,0,0,0,72,72,0,72
3200101,102,0,1,1,0,28,0,0,0,0,0,0,0,28,28,0,28
3200101,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,104,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,105,0,0,0,0,0,0,0,0,0,102,0,0,102,0,0,102
3200101,106,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,136
3200101,106,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,5
3200101,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,108,0,0,1,1,0,0,0,0,0,70,0,0,0,70,0,70
3200101,109,0,0,0,0,0,0,69,0,0,69,0,0,0,0,0,69
3200101,109,0,0,0,0,5,0,0,0,0,0,0,5,5,5,0,5
3200101,109,0,0,1,0,0,111,0,0,0,0,0,0,111,0,111,111
3200101,110,0,0,0,0,0,0,0,0,0,73,73,0,0,0,0,73
3200101,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,111,0,0,0,0,43,0,0,0,0,43,0,0,0,0,0,43
3200101,113,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,113,0,1,1,0,0,0,0,0,0,60,0,60,0,60,0,60
3200101,114,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,115,0,0,0,0,0,76,0,0,0,76,0,76,76,76,76,76
3200101,115,0,0,0,1,0,0,0,0,0,157,0,0,157,0,0,157
3200101,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,122,0,0,1,1,0,0,0,0,0,97,0,0,0,0,0,97
3200101,124,0,1,1,1,0,0,0,0,0,111,111,0,0,111,0,111
3200101,125,0,0,1,1,14,0,14,0,0,0,0,0,0,0,0,14
3200101,127,0,0,0,0,0,0,0,0,0,101,0,0,101,0,0,101
3200101,127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,129,0,1,1,0,128,0,0,0,0,128,0,0,128,128,0,128
3200101,133,0,0,1,0,0,0,0,0,0,251,251,0,0,0,251,251
3200101,133,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,134,0,0,1,0,0,0,0,0,0,0,155,0,0,0,155,155
3200101,134,1,0,0,0,0,0,0,0,0,0,82,0,0,0,0,82
3200101,136,0,0,0,1,0,0,0,0,0,0,442,0,0,0,442,442
3200101,136,0,1,1,0,0,0,0,0,0,89,0,89,89,89,0,89
3200101,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,137,0,1,1,1,0,0,0,0,0,84,84,0,84,84,0,84
3200101,138,0,0,1,0,0,60,0,0,0,0,60,0,0,60,0,60
3200101,138,0,0,1,1,0,0,0,0,0,107,0,0,107,0,0,107
3200101,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,143,0,0,0,0,0,0,0,169,0,0,0,0,0,169,0,169
3200101,144,0,0,0,0,0,0,0,0,0,56,0,0,56,56,0,56
3200101,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,146,0,0,1,0,0,80,0,0,0,80,0,0,80,80,80,80
3200101,147,0,0,1,0,0,0,0,0,0,72,0,0,0,0,0,72
3200101,147,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,148,0,0,0,1,0,0,0,0,0,0,93,0,0,0,0,93
3200101,152,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,109
3200101,153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,153,0,0,1,1,0,0,0,0,0,58,58,58,0,58,0,58
3200101,154,0,0,0,0,0,0,0,0,0,56,0,0,56,0,0,56
3200101,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,155,0,0,0,0,0,0,0,0,0,58,0,0,58,0,0,58
3200101,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,156,0,0,1,0,0,0,0,0,0,287,0,287,0,287,0,287
3200101,156,0,1,1,1,60,0,0,0,0,60,0,60,60,60,0,60
3200101,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,157,0,0,1,1,0,0,0,0,0,92,92,0,0,0,0,92
3200101,158,0,0,0,0,0,0,0,0,0,28,0,0,28,28,0,28
3200101,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,161,0,0,0,0,0,0,0,0,0,263,0,263,0,0,0,263
3200101,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,161,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3200101,162,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,163,0,1,1,0,0,0,0,0,0,67,67,0,67,0,67,67
3200101,164,0,0,0,0,0,0,0,0,0,0,88,88,0,0,88,88
3200101,164,0,0,0,0,0,0,0,0,0,54,0,0,54,54,0,54
3200101,164,0,0,1,0,0,0,0,0,85,85,85,0,0,85,0,85
3200101,165,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,40
3200101,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,166,0,0,1,0,0,0,0,0,0,64,0,0,0,0,0,64
3200101,166,0,0,1,0,0,0,0,0,0,57,0,0,57,0,0,57
3200101,167,0,0,0,0,0,0,0,0,0,0,68,0,68,0,68,68
3200101,167,0,0,0,1,8,0,0,0,0,8,8,0,0,8,0,8
3200101,167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,168,0,0,1,0,0,0,0,0,0,376,376,0,0,376,0,376
3200101,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,170,0,0,1,0,0,0,0,0,0,123,123,0,0,0,0,123
3200101,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,174,0,0,0,0,0,0,0,0,0,67,0,0,67,0,0,67
3200101,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,178,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,91
3200101,180,0,0,0,0,0,0,0,0,0,73,0,0,73,0,0,73
3200101,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200101,180,0,0,1,0,0,0,0,0,0,79,0,0,79,0,0,79
3200101,180,0,0,1,0,56,0,0,0,0,56,56,0,0,0,0,56
3200101,181,0,0,0,0,0,0,0,0,0,74,74,0,0,74,0,74
3200101,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
