cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3901,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,1033
3901,0,0,0,0,0,0,0,0,0,0,506,0,0,0,506,0,506
3901,0,0,0,0,0,0,0,0,0,0,268,0,0,268,0,0,268
3901,0,0,0,0,0,0,0,0,0,0,34,0,0,34,34,0,34
3901,0,0,0,0,0,0,0,0,0,0,62,0,62,62,62,0,62
3901,0,0,0,0,0,0,0,0,0,185,185,0,0,0,0,0,185
3901,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,280
3901,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,20
3901,0,0,0,0,0,0,0,53,0,0,0,0,0,53,0,0,53
3901,0,0,0,0,0,0,0,293,0,0,0,293,0,0,0,0,293
3901,0,0,0,0,0,0,0,87,0,0,87,0,0,0,0,0,87
3901,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,118
3901,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,330,330
3901,0,0,0,0,1,0,0,0,0,0,48,0,48,48,48,0,48
3901,0,0,0,1,0,0,0,0,0,0,0,93,0,0,0,93,93
3901,0,0,0,1,0,0,0,0,0,0,423,0,0,0,0,0,423
3901,0,0,0,1,0,0,0,0,0,0,7,0,0,0,7,0,7
3901,0,0,0,1,0,0,0,0,0,0,93,0,0,93,0,0,93
3901,0,0,0,1,0,0,0,842,0,0,0,0,0,0,0,0,842
3901,0,0,0,1,0,0,0,6,0,0,0,0,0,0,6,0,6
3901,0,0,0,1,0,0,0,118,0,0,118,0,0,0,0,0,118
3901,0,0,0,1,0,0,131,0,0,0,131,0,0,0,0,131,131
3901,0,0,0,1,0,0,37,0,0,0,37,37,0,0,0,0,37
3901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3901,0,0,0,1,1,0,0,0,0,0,259,0,0,0,0,0,259
3901,0,0,0,1,1,0,0,0,0,0,183,0,0,0,183,0,183
3901,0,0,0,1,1,0,0,0,0,0,63,0,0,63,63,0,63
3901,0,0,0,1,1,0,0,0,0,0,172,172,0,0,0,0,172
3901,0,0,0,1,1,0,0,402,0,0,0,0,0,0,0,0,402
3901,0,0,0,1,1,0,0,3,0,0,0,0,0,0,3,0,3
3901,0,0,0,1,1,0,0,233,0,0,0,0,0,233,0,0,233
3901,0,0,0,1,1,0,0,643,0,0,0,643,0,0,0,0,643
3901,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3901,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3901,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,44
3901,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28
3901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3901,1,1,0,1,1,0,0,0,0,0,119,119,0,0,0,119,119
3901,2,0,0,1,0,0,0,0,0,0,58,0,0,0,0,0,58
3901,2,0,0,1,1,0,0,18,0,0,0,0,0,0,0,0,18
3901,2,1,0,1,1,0,20,0,0,0,20,0,0,0,20,0,20
3901,3,0,0,0,1,0,0,209,0,0,0,0,209,0,0,0,209
3901,3,0,0,1,0,0,0,0,0,0,76,0,0,0,76,0,76
3901,3,0,0,1,1,0,0,321,0,0,0,0,0,0,0,0,321
3901,3,0,0,1,1,0,0,14,0,0,0,0,0,0,14,0,14
3901,4,0,0,0,1,0,0,379,0,0,379,0,0,0,0,0,379
3901,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3901,5,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,398
