state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
39,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32
39,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15
39,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,607
39,0,0,0,0,0,0,0,0,0,0,0,371,0,0,371,371,371
39,0,0,0,0,0,0,0,0,0,0,0,128,0,128,0,0,128
39,0,0,0,0,0,0,0,0,0,0,10009,0,0,0,0,0,10009
39,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,109,109
39,0,0,0,0,0,0,0,0,0,0,3041,0,0,0,3041,0,3041
39,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,60,60
39,0,0,0,0,0,0,0,0,0,0,7300,0,0,7300,0,0,7300
39,0,0,0,0,0,0,0,0,0,0,2653,0,0,2653,2653,0,2653
39,0,0,0,0,0,0,0,0,0,0,226,0,0,226,226,226,226
39,0,0,0,0,0,0,0,0,0,0,238,0,238,0,0,0,238
39,0,0,0,0,0,0,0,0,0,0,290,0,290,0,290,0,290
39,0,0,0,0,0,0,0,0,0,0,901,0,901,901,0,0,901
39,0,0,0,0,0,0,0,0,0,0,588,0,588,588,588,0,588
39,0,0,0,0,0,0,0,0,0,0,1610,1610,0,0,0,0,1610
39,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,72,72
39,0,0,0,0,0,0,0,0,0,0,110,110,110,110,0,0,110
39,0,0,0,0,0,0,0,0,0,187,187,0,0,0,0,0,187
39,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,1140
39,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,461,461
39,0,0,0,0,0,0,0,64,0,0,0,0,0,0,64,0,64
39,0,0,0,0,0,0,0,776,0,0,0,0,0,776,0,0,776
39,0,0,0,0,0,0,0,365,0,0,0,0,0,365,365,0,365
39,0,0,0,0,0,0,0,567,0,0,0,0,567,567,567,0,567
39,0,0,0,0,0,0,0,294,0,0,0,294,0,0,0,0,294
39,0,0,0,0,0,0,0,317,0,0,317,0,0,0,0,0,317
39,0,0,0,0,0,0,1641,0,0,0,0,0,0,0,0,0,1641
39,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,675,675
39,0,0,0,0,0,0,169,0,0,0,0,0,0,169,169,169,169
39,0,0,0,0,0,0,83,0,0,0,0,83,0,83,0,0,83
39,0,0,0,0,0,0,380,0,0,0,380,0,0,0,0,0,380
39,0,0,0,0,0,0,238,0,0,0,238,0,0,238,0,0,238
39,0,0,0,0,0,0,168,0,0,0,168,0,0,168,168,0,168
39,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,100
39,0,0,0,0,0,0,42,0,0,42,42,0,0,0,0,0,42
39,0,0,0,0,0,0,114,0,0,114,114,0,0,114,0,114,114
39,0,0,0,0,0,0,223,223,0,0,223,0,0,0,223,0,223
39,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,10
39,0,0,0,0,0,208,0,0,0,0,208,0,0,0,0,0,208
39,0,0,0,0,0,73,0,0,0,0,73,0,0,0,73,0,73
39,0,0,0,0,0,31,0,0,0,0,31,0,0,31,0,0,31
39,0,0,0,0,0,18,0,0,0,0,18,0,0,18,18,0,18
39,0,0,0,0,1,0,0,0,0,0,391,0,0,0,0,0,391
39,0,0,0,0,1,0,0,0,0,0,449,0,0,0,0,449,449
39,0,0,0,0,1,0,0,0,0,0,12,0,0,0,12,0,12
39,0,0,0,0,1,0,0,0,0,0,226,0,0,226,0,0,226
39,0,0,0,0,1,0,0,0,0,0,224,0,0,224,224,0,224
39,0,0,0,0,1,0,0,0,0,0,90,0,90,0,0,0,90
39,0,0,0,0,1,0,0,0,0,0,543,0,543,543,0,0,543
39,0,0,0,0,1,0,0,0,0,0,48,0,48,48,48,0,48
39,0,0,0,0,1,0,0,457,0,0,0,0,0,0,0,0,457
39,0,0,0,0,1,0,0,83,0,0,0,0,0,0,83,0,83
39,0,0,0,0,1,0,0,96,0,0,0,0,0,96,0,0,96
39,0,0,0,0,1,36,0,0,0,0,36,0,0,36,36,0,36
39,0,0,0,1,0,0,0,0,0,0,0,498,0,0,0,0,498
39,0,0,0,1,0,0,0,0,0,0,0,98,0,0,0,98,98
39,0,0,0,1,0,0,0,0,0,0,0,58,58,58,0,0,58
39,0,0,0,1,0,0,0,0,0,0,6310,0,0,0,0,0,6310
39,0,0,0,1,0,0,0,0,0,0,133,0,0,0,0,133,133
39,0,0,0,1,0,0,0,0,0,0,3394,0,0,0,3394,0,3394
39,0,0,0,1,0,0,0,0,0,0,1275,0,0,1275,0,0,1275
39,0,0,0,1,0,0,0,0,0,0,657,0,0,657,657,0,657
39,0,0,0,1,0,0,0,0,0,0,118,0,118,0,0,0,118
39,0,0,0,1,0,0,0,0,0,0,347,0,347,0,347,0,347
39,0,0,0,1,0,0,0,0,0,0,324,0,324,324,0,0,324
39,0,0,0,1,0,0,0,0,0,0,66,0,66,66,66,0,66
39,0,0,0,1,0,0,0,0,0,0,37,37,0,0,0,0,37
39,0,0,0,1,0,0,0,0,0,0,94,94,0,0,94,94,94
39,0,0,0,1,0,0,0,2799,0,0,0,0,0,0,0,0,2799
39,0,0,0,1,0,0,0,1181,0,0,0,0,0,0,1181,0,1181
39,0,0,0,1,0,0,0,360,0,0,0,0,0,360,0,0,360
39,0,0,0,1,0,0,0,361,0,0,0,0,0,361,361,0,361
39,0,0,0,1,0,0,0,37,0,0,0,37,37,37,37,0,37
39,0,0,0,1,0,0,0,680,0,0,680,0,0,0,0,0,680
39,0,0,0,1,0,0,0,133,0,0,133,133,0,133,133,0,133
39,0,0,0,1,0,0,89,0,0,0,0,0,0,0,0,89,89
39,0,0,0,1,0,0,39,0,0,0,0,0,0,39,0,0,39
39,0,0,0,1,0,0,36,0,0,0,36,0,0,0,0,0,36
39,0,0,0,1,0,0,132,0,0,0,132,0,0,0,0,132,132
39,0,0,0,1,0,0,37,0,0,0,37,37,0,0,0,0,37
39,0,0,0,1,0,0,104,0,0,0,104,104,0,104,104,0,104
39,0,0,0,1,0,342,0,0,0,0,342,0,0,0,0,0,342
39,0,0,0,1,0,55,0,0,0,0,55,0,0,55,0,0,55
39,0,0,0,1,0,78,0,0,0,0,78,78,0,0,78,0,78
39,0,0,0,1,0,257,0,257,0,0,257,0,0,0,0,0,257
39,0,0,0,1,0,79,0,79,0,0,79,0,0,79,79,0,79
39,0,0,0,1,0,72,72,72,0,0,72,0,0,72,72,0,72
39,0,0,0,1,1,0,0,0,0,0,0,372,0,0,0,0,372
39,0,0,0,1,1,0,0,0,0,0,0,58,0,0,58,58,58
39,0,0,0,1,1,0,0,0,0,0,6339,0,0,0,0,0,6339
