cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
4201,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,0,659
4201,0,0,0,0,0,0,0,0,0,0,573,0,0,573,0,0,573
4201,0,0,0,0,0,0,0,0,0,0,121,0,0,121,121,0,121
4201,0,0,0,0,0,0,0,0,0,0,88,0,88,88,0,0,88
4201,0,0,0,0,0,0,0,0,0,0,174,0,174,174,174,0,174
4201,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4
4201,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
4201,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2
4201,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3
4201,0,0,0,0,0,0,81,0,0,0,0,0,0,81,81,81,81
4201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4201,0,0,0,0,1,0,0,0,0,0,5,0,0,5,0,0,5
4201,0,0,0,0,1,0,0,90,0,0,0,0,0,90,0,0,90
4201,0,0,0,1,0,0,0,0,0,0,335,0,0,0,0,0,335
4201,0,0,0,1,0,0,0,0,0,0,71,0,0,0,71,0,71
4201,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,0,2
4201,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,2,2
4201,0,0,0,1,1,0,0,0,0,0,269,0,0,0,0,0,269
4201,0,0,0,1,1,0,0,9,0,0,0,0,0,9,9,0,9
4201,0,0,0,1,1,0,0,229,0,0,0,229,0,0,0,229,229
4201,1,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,130
4201,1,0,0,0,0,0,0,0,0,0,140,140,0,0,140,0,140
4201,1,0,0,1,1,0,0,165,0,0,165,0,0,0,165,0,165
4201,2,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,40
4201,2,0,0,1,1,0,0,11,0,0,0,0,0,0,0,11,11
4201,2,1,0,1,1,0,0,0,0,0,239,0,0,0,239,0,239
4201,2,1,0,1,1,0,0,0,0,0,116,116,0,0,116,0,116
4201,3,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,42
4201,4,0,0,1,1,0,0,22,0,0,22,0,0,0,0,0,22
4201,5,0,0,1,0,0,0,0,0,0,15,0,0,15,0,0,15
4201,5,1,0,1,1,0,0,15,0,0,0,0,0,0,15,0,15
4201,6,0,0,0,1,0,0,160,0,0,0,0,0,160,0,0,160
4201,7,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,35
4201,7,0,0,1,1,0,0,4,0,0,0,0,0,4,4,0,4
4201,8,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
4201,8,0,0,0,0,0,0,0,0,0,49,0,0,49,0,0,49
4201,8,0,0,1,1,0,0,0,0,0,101,0,0,0,101,0,101
4201,9,0,0,0,0,0,0,44,0,0,0,0,0,0,0,44,44
4201,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2
4201,10,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6
4201,10,0,0,0,0,0,0,0,0,0,47,0,0,47,47,0,47
4201,10,0,0,1,1,0,0,0,0,0,227,0,0,0,0,0,227
4201,10,0,0,1,1,0,0,0,0,0,4,4,0,4,4,0,4
4201,11,0,0,0,0,0,154,0,0,0,0,0,0,0,154,154,154
4201,11,0,0,0,0,0,46,0,0,0,0,0,0,46,0,46,46
4201,11,0,0,1,1,0,0,0,0,0,152,0,0,0,0,0,152
4201,11,0,0,1,1,0,0,0,0,0,37,0,0,37,37,0,37
4201,11,0,0,1,1,0,10,0,0,0,0,0,0,10,0,10,10
4201,12,0,0,0,0,0,0,0,0,0,389,0,0,389,0,0,389
4201,12,0,0,0,1,0,0,0,0,0,14,0,0,14,0,0,14
4201,13,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,5
4201,14,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72
4201,14,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,78
4201,14,0,0,0,0,0,0,0,0,0,151,0,0,151,151,0,151
4201,14,0,0,0,0,0,0,0,0,0,182,0,182,182,0,0,182
4201,14,0,0,1,0,0,0,0,0,0,65,0,0,65,0,0,65
4201,14,0,0,1,0,0,0,0,0,0,7,0,0,7,7,0,7
4201,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
4201,16,0,1,1,0,0,0,0,0,0,27,0,0,27,27,0,27
4201,17,0,0,0,0,0,0,0,0,0,315,0,0,315,0,0,315
4201,17,0,0,0,0,0,0,0,0,0,19,0,0,19,19,0,19
4201,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
4201,18,0,0,1,0,0,4,0,0,0,4,0,0,4,0,0,4
4201,19,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,23
4201,20,0,0,0,0,0,0,0,0,0,201,0,0,201,0,0,201
4201,20,0,1,1,0,0,0,0,0,0,4,0,0,4,4,0,4
