state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
72,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,314
72,0,0,0,0,0,0,0,0,0,0,0,953,0,0,0,953,953
72,0,0,0,0,0,0,0,0,0,0,0,373,0,0,373,373,373
72,0,0,0,0,0,0,0,0,0,0,0,688,0,688,0,688,688
72,0,0,0,0,0,0,0,0,0,0,0,202,0,202,202,0,202
72,0,0,0,0,0,0,0,0,0,0,0,194,0,194,194,194,194
72,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,492
72,0,0,0,0,0,0,0,0,0,0,164,0,0,0,164,0,164
72,0,0,0,0,0,0,0,0,0,0,48,0,0,48,0,48,48
72,0,0,0,0,0,0,0,0,0,0,483,483,0,0,0,0,483
72,0,0,0,0,0,0,0,0,0,0,1752,1752,0,0,0,1752,1752
72,0,0,0,0,0,0,0,0,0,0,77,77,0,0,77,77,77
72,0,0,0,0,0,0,0,0,0,0,354,354,0,354,0,0,354
72,0,0,0,0,0,0,0,0,0,0,1009,1009,0,1009,0,1009,1009
72,0,0,0,0,0,0,0,0,0,0,249,249,0,249,249,0,249
72,0,0,0,0,0,0,0,0,0,0,526,526,0,526,526,526,526
72,0,0,0,0,0,0,0,0,0,0,88,88,88,88,0,88,88
72,0,0,0,0,0,0,0,0,0,0,76,76,76,76,76,76,76
72,0,0,0,0,0,0,0,67,0,0,0,0,0,0,67,67,67
72,0,0,0,0,0,0,0,61,0,0,0,61,0,0,0,0,61
72,0,0,0,0,0,0,0,81,0,0,0,81,0,0,0,81,81
72,0,0,0,0,0,0,0,136,0,0,0,136,0,136,0,0,136
72,0,0,0,0,0,0,0,329,0,0,0,329,0,329,0,329,329
72,0,0,0,0,0,0,0,195,0,0,0,195,0,195,195,195,195
72,0,0,0,0,0,0,0,97,0,0,0,97,97,97,0,0,97
72,0,0,0,0,0,0,0,55,0,0,55,55,0,0,0,55,55
72,0,0,0,0,0,0,0,68,0,0,68,68,0,0,68,68,68
72,0,0,0,0,0,0,0,36,0,0,36,36,0,36,36,0,36
72,0,0,0,0,0,39,0,0,0,0,0,39,0,39,39,0,39
72,0,0,0,0,0,145,0,0,0,0,145,145,0,0,0,0,145
72,0,0,0,0,0,72,0,72,0,0,72,72,0,0,0,0,72
72,0,0,0,0,1,0,0,0,0,0,0,157,0,0,0,0,157
72,0,0,0,0,1,0,0,0,0,0,0,1899,0,0,0,1899,1899
72,0,0,0,0,1,0,0,0,0,0,0,422,0,0,422,422,422
72,0,0,0,0,1,0,0,0,0,0,0,470,0,470,0,470,470
72,0,0,0,0,1,0,0,0,0,0,0,233,0,233,233,0,233
72,0,0,0,0,1,0,0,0,0,0,0,191,0,191,191,191,191
72,0,0,0,0,1,0,0,0,0,0,0,66,66,66,0,66,66
72,0,0,0,0,1,0,0,0,0,0,0,51,51,51,51,51,51
72,0,0,0,0,1,0,0,0,0,0,242,0,0,0,0,0,242
72,0,0,0,0,1,0,0,0,0,0,897,897,0,0,0,897,897
72,0,0,0,0,1,0,0,0,0,0,436,436,0,0,436,436,436
72,0,0,0,0,1,0,0,0,0,0,393,393,0,393,0,0,393
72,0,0,0,0,1,0,0,0,0,0,401,401,0,401,0,401,401
72,0,0,0,0,1,0,0,0,0,0,389,389,0,389,389,0,389
72,0,0,0,0,1,0,0,0,0,0,299,299,0,299,299,299,299
72,0,0,0,0,1,0,0,0,0,0,35,35,35,35,0,0,35
72,0,0,0,0,1,0,0,0,0,0,45,45,45,45,45,0,45
72,0,0,0,0,1,0,0,0,0,0,45,45,45,45,45,45,45
72,0,0,0,0,1,0,0,95,0,0,0,95,0,0,0,0,95
72,0,0,0,0,1,0,0,58,0,0,0,58,0,0,58,58,58
72,0,0,0,0,1,0,0,58,0,0,0,58,0,58,0,0,58
72,0,0,0,0,1,0,0,198,0,0,0,198,0,198,0,198,198
72,0,0,0,0,1,0,0,49,0,0,0,49,0,49,49,0,49
72,0,0,0,0,1,0,0,56,0,0,56,56,0,0,56,56,56
72,0,0,0,0,1,0,0,178,0,0,178,178,0,178,0,178,178
72,0,0,0,0,1,143,0,0,0,0,0,143,143,0,0,143,143
72,0,0,0,1,0,0,0,0,0,0,0,242,0,0,0,0,242
72,0,0,0,1,0,0,0,0,0,0,0,789,0,0,0,789,789
72,0,0,0,1,0,0,0,0,0,0,0,60,0,0,60,0,60
72,0,0,0,1,0,0,0,0,0,0,0,681,0,0,681,681,681
72,0,0,0,1,0,0,0,0,0,0,0,32,0,32,0,0,32
72,0,0,0,1,0,0,0,0,0,0,0,501,0,501,0,501,501
72,0,0,0,1,0,0,0,0,0,0,0,96,0,96,96,0,96
72,0,0,0,1,0,0,0,0,0,0,0,138,0,138,138,138,138
72,0,0,0,1,0,0,0,0,0,0,0,89,89,89,0,89,89
72,0,0,0,1,0,0,0,0,0,0,58,0,0,58,0,0,58
72,0,0,0,1,0,0,0,0,0,0,330,330,0,0,0,0,330
72,0,0,0,1,0,0,0,0,0,0,1370,1370,0,0,0,1370,1370
72,0,0,0,1,0,0,0,0,0,0,168,168,0,0,168,0,168
72,0,0,0,1,0,0,0,0,0,0,459,459,0,0,459,459,459
72,0,0,0,1,0,0,0,0,0,0,144,144,0,144,0,0,144
72,0,0,0,1,0,0,0,0,0,0,432,432,0,432,0,432,432
72,0,0,0,1,0,0,0,0,0,0,368,368,0,368,368,368,368
72,0,0,0,1,0,0,0,0,0,0,49,49,49,49,49,0,49
72,0,0,0,1,0,0,0,229,0,0,0,229,0,0,0,229,229
72,0,0,0,1,0,0,0,285,0,0,0,285,0,285,0,285,285
72,0,0,0,1,0,0,0,78,0,0,0,78,0,78,78,78,78
72,0,0,0,1,0,0,0,69,0,0,0,69,69,69,69,69,69
72,0,0,0,1,0,0,0,240,0,0,240,240,0,0,0,240,240
72,0,0,0,1,0,0,0,27,0,0,27,27,0,0,27,27,27
72,0,0,0,1,0,0,0,58,0,0,58,58,0,58,58,58,58
72,0,0,0,1,0,0,0,37,0,0,37,37,37,37,37,37,37
72,0,0,0,1,0,0,68,0,0,0,68,68,0,0,0,68,68
72,0,0,0,1,0,240,0,240,0,0,240,240,0,0,240,240,240
72,0,0,0,1,1,0,0,0,0,0,0,826,0,0,0,0,826
72,0,0,0,1,1,0,0,0,0,0,0,9175,0,0,0,9175,9175
72,0,0,0,1,1,0,0,0,0,0,0,242,0,0,242,0,242
72,0,0,0,1,1,0,0,0,0,0,0,4348,0,0,4348,4348,4348
72,0,0,0,1,1,0,0,0,0,0,0,108,0,108,0,0,108
72,0,0,0,1,1,0,0,0,0,0,0,2153,0,2153,0,2153,2153
72,0,0,0,1,1,0,0,0,0,0,0,30,0,30,30,0,30
72,0,0,0,1,1,0,0,0,0,0,0,2356,0,2356,2356,2356,2356
72,0,0,0,1,1,0,0,0,0,0,0,90,90,90,0,90,90
72,0,0,0,1,1,0,0,0,0,0,0,111,111,111,111,111,111
72,0,0,0,1,1,0,0,0,0,0,1187,1187,0,0,0,0,1187
72,0,0,0,1,1,0,0,0,0,0,14583,14583,0,0,0,14583,14583
72,0,0,0,1,1,0,0,0,0,0,152,152,0,0,152,0,152
72,0,0,0,1,1,0,0,0,0,0,6893,6893,0,0,6893,6893,6893
72,0,0,0,1,1,0,0,0,0,0,138,138,0,138,0,0,138
72,0,0,0,1,1,0,0,0,0,0,3340,3340,0,3340,0,3340,3340
72,0,0,0,1,1,0,0,0,0,0,282,282,0,282,282,0,282
72,0,0,0,1,1,0,0,0,0,0,4843,4843,0,4843,4843,4843,4843
72,0,0,0,1,1,0,0,0,0,0,97,97,97,0,97,97,97
72,0,0,0,1,1,0,0,0,0,0,121,121,121,121,121,121,121
72,0,0,0,1,1,0,0,212,0,0,0,212,0,0,0,0,212
72,0,0,0,1,1,0,0,1511,0,0,0,1511,0,0,0,1511,1511
72,0,0,0,1,1,0,0,877,0,0,0,877,0,0,877,877,877
72,0,0,0,1,1,0,0,944,0,0,0,944,0,944,0,944,944
72,0,0,0,1,1,0,0,394,0,0,0,394,0,394,394,0,394
72,0,0,0,1,1,0,0,786,0,0,0,786,0,786,786,786,786
72,0,0,0,1,1,0,0,40,0,0,0,40,40,40,40,40,40
72,0,0,0,1,1,0,0,1624,0,0,1624,1624,0,0,0,1624,1624
72,0,0,0,1,1,0,0,111,0,0,111,111,0,0,111,0,111
72,0,0,0,1,1,0,0,791,0,0,791,791,0,0,791,791,791
72,0,0,0,1,1,0,0,42,0,0,42,42,0,42,0,0,42
72,0,0,0,1,1,0,0,234,0,0,234,234,0,234,0,234,234
72,0,0,0,1,1,0,0,923,0,0,923,923,0,923,923,923,923
72,0,0,0,1,1,103,0,0,0,0,0,103,0,0,103,103,103
72,0,0,0,1,1,92,0,92,0,0,0,92,0,92,0,92,92
72,0,0,0,1,1,237,0,237,0,0,237,237,0,0,0,237,237
