cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
4401,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,32
4401,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,110
4401,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,294
4401,0,0,0,0,0,0,0,0,0,0,406,0,0,406,0,0,406
4401,0,0,0,0,0,0,0,0,0,0,135,0,0,135,135,0,135
4401,0,0,0,0,0,0,0,0,0,0,131,0,131,131,131,0,131
4401,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,51
4401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4401,0,0,0,0,0,0,0,145,0,0,0,145,0,0,0,0,145
4401,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19
4401,0,0,0,0,0,29,0,0,0,0,0,29,0,29,0,29,29
4401,0,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,46
4401,0,0,0,0,1,0,0,0,0,0,0,139,0,139,0,139,139
4401,0,0,0,0,1,0,0,0,0,0,0,32,0,32,32,32,32
4401,0,0,0,0,1,0,0,174,0,0,0,0,0,0,0,0,174
4401,0,0,0,0,1,0,0,76,0,0,0,76,0,76,0,76,76
4401,0,0,0,0,1,0,31,0,0,0,31,31,0,0,0,0,31
4401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62
4401,0,0,0,1,0,0,0,0,0,0,0,154,0,154,0,154,154
4401,0,0,0,1,0,0,0,0,0,0,0,67,0,67,67,67,67
4401,0,0,0,1,0,0,0,0,0,0,153,0,0,0,0,0,153
4401,0,0,0,1,0,0,0,0,0,0,125,0,0,125,0,0,125
4401,0,0,0,1,0,0,0,0,0,0,46,0,0,46,46,46,46
4401,0,0,0,1,0,0,0,0,0,0,48,48,0,0,48,0,48
4401,0,0,0,1,0,0,0,0,0,0,33,33,33,0,33,0,33
4401,0,0,0,1,0,0,0,130,0,0,130,0,0,0,0,0,130
4401,0,0,0,1,0,0,23,0,0,0,0,0,0,23,0,23,23
4401,0,0,0,1,1,0,0,0,0,0,0,180,0,0,0,180,180
4401,0,0,0,1,1,0,0,0,0,0,72,0,0,0,72,0,72
4401,0,0,0,1,1,0,0,0,0,0,84,0,0,84,0,0,84
4401,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4401,0,0,0,1,1,0,0,0,0,0,32,32,0,0,32,0,32
4401,0,0,0,1,1,0,0,0,0,0,117,117,0,117,0,117,117
4401,0,0,0,1,1,0,0,0,0,132,0,132,0,132,0,0,132
4401,0,0,0,1,1,0,0,23,0,0,0,0,0,0,23,0,23
4401,0,0,0,1,1,0,0,32,0,0,0,0,0,32,0,0,32
4401,0,0,0,1,1,0,0,104,0,0,104,0,0,0,0,0,104
4401,0,0,0,1,1,17,0,0,0,0,0,0,0,0,17,0,17
4401,0,0,1,1,0,0,0,0,0,0,35,35,0,0,0,0,35
4401,0,0,1,1,1,0,0,0,0,0,183,0,0,0,183,0,183
4401,0,1,0,1,1,0,0,0,0,0,39,39,0,0,0,39,39
4401,2,0,0,1,0,0,0,0,0,0,0,98,0,0,98,98,98
4401,2,0,0,1,0,0,0,0,0,0,84,0,0,84,0,0,84
4401,2,0,0,1,0,0,0,170,0,0,0,170,0,0,170,0,170
4401,2,1,0,1,1,0,0,0,0,0,121,0,0,0,121,0,121
4401,3,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,163
4401,3,1,0,1,0,0,0,0,0,0,83,83,0,0,0,0,83
4401,5,0,0,0,1,28,0,0,0,0,28,0,0,0,0,0,28
4401,5,0,0,1,1,0,0,48,0,0,0,0,0,48,48,0,48
4401,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4401,5,1,0,1,1,0,0,248,0,0,0,0,0,0,248,0,248
4401,6,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,225
4401,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4401,7,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36
4401,7,0,0,0,0,0,0,0,0,0,103,0,0,103,0,103,103
4401,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4401,7,0,0,1,0,0,0,0,0,0,0,139,0,0,0,0,139
4401,7,0,0,1,1,0,0,0,0,0,0,111,0,0,0,0,111
4401,7,0,0,1,1,0,0,0,0,0,59,59,0,59,59,0,59
4401,7,0,0,1,1,0,0,24,0,0,0,0,0,24,24,0,24
4401,7,1,0,1,1,0,0,0,0,0,24,24,0,24,0,0,24
4401,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4401,8,0,0,0,1,0,0,0,0,0,48,0,0,0,48,0,48
4401,8,1,0,1,1,0,0,0,0,0,27,0,0,27,27,0,27
