SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000079,316,1,0,1,0,4400101,286,0,286,0,0,0,286,0,0,0,0,0
2021HU0000643,409,0,0,1,0,4400102,40,0,0,0,0,0,40,0,0,40,0,0
2021HU0001465,501,0,1,1,0,4400201,75,0,0,0,0,0,75,0,75,75,75,0
2021HU0001672,77,0,0,1,1,4400300,54,0,0,0,0,0,54,0,0,54,54,0
2021HU0001822,41,0,0,0,0,4400104,50,0,50,0,0,0,0,0,0,50,0,50
2021HU0001891,498,0,0,0,0,4400102,81,0,0,81,0,0,0,0,0,81,81,0
2021HU0001941,373,1,0,1,1,4400101,52,0,0,0,0,0,52,0,0,0,0,0
2021HU0001945,501,0,0,0,0,4400103,92,0,0,0,0,0,92,0,0,0,0,0
2021HU0002007,501,0,0,0,0,4400103,116,0,0,0,0,0,116,0,0,0,0,0
2021HU0002028,163,1,0,1,1,4400103,230,0,0,230,0,0,230,0,230,230,230,230
2021HU0002505,338,0,0,0,0,4400104,158,0,0,0,0,0,158,0,0,158,158,0
2021HU0002542,453,0,0,0,0,4400102,66,0,0,0,0,0,66,0,66,0,0,0
2021HU0002835,501,0,0,0,0,4400103,95,0,0,0,0,0,95,0,0,95,0,0
2021HU0003298,278,0,0,1,0,4400300,54,0,0,0,0,0,54,0,0,54,0,0
2021HU0003380,220,0,0,0,0,4400400,52,0,0,0,0,0,52,0,0,52,0,0
2021HU0003415,308,0,0,0,0,4400201,96,0,96,0,0,0,96,0,0,0,0,0
2021HU0003477,227,0,0,1,1,4400101,161,0,0,161,0,0,0,161,161,0,0,0
2021HU0003568,303,0,0,1,0,4400101,87,0,0,0,0,0,87,0,0,0,87,0
2021HU0003757,120,0,0,0,1,4400102,55,0,0,55,0,0,0,0,0,55,0,0
2021HU0003835,501,0,0,0,0,4400201,29,0,0,0,0,0,29,0,0,29,0,0
2021HU0003898,206,0,0,1,0,4400201,64,0,0,0,0,0,64,0,0,0,64,0
2021HU0004023,501,0,1,1,0,4400400,52,0,0,0,0,0,52,0,0,0,0,0
2021HU0004032,381,0,0,0,0,4400102,114,0,0,0,0,0,114,0,0,0,114,0
2021HU0004288,332,0,0,0,0,4400104,88,0,0,0,0,0,0,0,0,88,0,0
2021HU0004678,74,0,0,0,0,4400400,317,0,317,0,0,0,0,0,0,0,317,0
2021HU0004762,258,0,0,0,0,4400201,77,0,0,0,0,0,77,0,77,77,77,0
2021HU0004809,338,0,0,0,0,4400201,201,0,0,0,0,0,201,0,201,201,0,0
2021HU0005377,170,0,0,1,0,4400201,64,0,0,0,0,0,64,0,0,0,64,0
2021HU0005790,106,0,1,1,1,4400102,55,0,0,0,0,0,55,55,0,0,0,0
2021HU0005972,425,0,0,0,0,4400104,126,0,0,0,0,0,126,0,126,126,126,0
2021HU0006432,501,0,0,0,0,4400101,30,0,0,0,0,0,30,0,0,30,0,0
2021HU0007001,501,0,0,0,0,4400103,148,0,0,0,0,0,148,0,0,0,0,0
2021HU0007275,156,0,0,0,0,4400400,42,0,0,0,0,0,42,0,0,42,0,0
2021HU0007800,54,0,0,0,0,4400101,319,0,0,0,0,0,319,0,0,319,319,0
2021HU0007812,303,0,0,1,1,4400400,105,0,0,105,0,0,105,0,0,0,0,0
2021HU0008039,501,0,0,0,0,4400201,32,0,0,0,0,0,32,0,0,0,0,0
2021HU0008788,302,0,0,0,0,4400300,78,0,0,0,0,0,78,0,0,78,78,0
2021HU0008827,83,0,0,1,1,4400300,51,0,0,0,0,0,0,0,0,0,0,0
2021HU0009290,420,0,0,0,0,4400104,62,0,0,0,0,0,62,0,0,62,0,0
2021HU0009323,286,0,0,1,1,4400103,202,0,0,0,0,0,202,202,0,0,0,0
2021HU0009482,501,0,0,0,0,4400101,58,0,0,0,0,0,58,0,0,58,58,0
2021HU0009630,171,0,0,1,0,4400201,85,0,0,0,0,0,85,0,0,85,0,0
2021HU0009745,196,0,0,1,0,4400201,76,0,0,0,0,0,76,0,0,76,76,0
2021HU0010043,386,0,0,0,0,4400400,114,0,0,0,0,0,114,0,0,0,0,0
2021HU0010146,501,0,0,0,0,4400103,122,0,0,0,0,0,122,122,0,0,0,0
2021HU0010321,501,0,0,0,0,4400103,101,0,101,0,0,0,101,0,0,0,0,0
2021HU0010394,233,0,0,0,0,4400101,58,0,0,0,0,0,58,0,0,58,58,0
2021HU0010566,210,0,0,0,0,4400104,47,0,0,0,0,0,47,0,0,47,0,47
2021HU0010877,257,1,0,1,1,4400103,47,0,0,0,0,0,47,0,0,0,47,0
2021HU0011202,501,0,0,0,0,4400103,377,0,0,377,0,0,377,377,377,0,0,0
2021HU0011218,501,0,0,0,0,4400300,84,0,0,0,0,0,84,0,0,84,84,0
2021HU0011826,395,0,0,0,0,4400102,87,0,0,0,0,0,87,0,0,0,87,87
2021HU0012582,501,0,0,0,0,4400300,51,0,51,0,0,0,0,0,0,0,0,0
2021HU0013701,344,0,0,1,0,4400104,35,0,35,0,0,0,0,0,0,35,35,35
2021HU0013721,501,0,0,0,0,4400201,73,0,0,0,0,0,73,0,0,0,0,0
2021HU0013845,373,0,0,0,0,4400103,81,0,0,0,0,0,81,0,0,81,0,0
2021HU0014290,431,1,0,1,1,4400104,159,0,0,0,0,0,159,159,0,159,0,159
2021HU0014679,451,0,0,0,0,4400103,198,0,0,0,0,0,198,198,0,0,0,198
2021HU0014928,179,0,0,1,0,4400300,54,0,0,0,0,0,54,0,0,54,0,0
