state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
46,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,8
46,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,106
46,0,0,0,0,0,0,0,0,0,0,403,0,0,0,403,0,403
46,0,0,0,0,0,0,0,0,0,0,560,0,0,560,0,0,560
46,0,0,0,0,0,0,0,0,0,0,167,0,0,167,167,0,167
46,0,0,0,0,0,0,0,0,0,0,79,0,79,79,0,0,79
46,0,0,0,0,0,0,0,0,0,0,179,0,179,179,179,0,179
46,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28
46,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,200
46,0,0,0,0,0,51,0,0,0,0,0,0,0,51,0,0,51
46,0,0,0,0,0,97,0,0,0,0,97,0,97,97,0,0,97
46,0,0,0,0,1,0,0,0,0,0,519,0,0,0,0,0,519
46,0,0,0,0,1,0,0,0,0,0,43,0,0,0,43,0,43
46,0,0,0,0,1,351,0,0,0,0,0,0,0,0,0,0,351
46,0,0,0,1,0,0,0,0,0,0,123,0,0,0,0,0,123
46,0,0,0,1,0,0,0,0,0,0,25,0,0,25,25,0,25
46,0,0,0,1,0,0,0,0,0,0,112,112,0,0,0,0,112
46,0,0,0,1,0,0,0,0,0,0,118,118,0,0,118,0,118
46,0,0,0,1,0,318,0,0,0,0,0,0,0,0,0,0,318
46,0,0,0,1,1,0,0,0,0,0,142,0,0,0,142,0,142
46,0,0,0,1,1,0,0,0,0,0,104,0,0,104,104,0,104
46,0,0,0,1,1,75,0,0,0,0,75,0,0,0,0,0,75
46,0,0,0,1,1,267,0,0,0,0,267,0,267,267,0,0,267
46,0,0,1,1,1,40,0,0,0,0,40,40,0,0,40,0,40
46,2,0,0,0,0,67,0,67,0,0,67,67,0,0,0,67,67
46,5,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90
46,5,0,0,0,0,0,0,0,0,0,46,0,0,0,46,0,46
46,5,0,0,1,0,0,0,0,0,0,383,0,0,0,0,0,383
46,6,0,0,1,0,0,0,0,0,0,21,0,0,21,21,0,21
46,6,0,0,1,0,0,0,0,0,0,93,93,0,0,93,0,93
46,6,1,0,1,1,0,0,0,0,0,32,32,0,0,0,0,32
46,7,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,408
46,7,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,200
46,7,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0,48
46,8,0,0,1,1,201,0,201,0,0,201,0,0,0,201,0,201
