SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000190,227,0,0,0,0,4600600,322,0,0,0,0,0,322,0,0,322,322,0
2021HU0000206,371,0,0,0,0,4600200,41,0,0,0,0,0,41,0,0,41,0,0
2021HU0000790,380,0,0,0,0,4600600,170,0,0,0,0,0,170,0,170,170,170,0
2021HU0000932,135,0,0,0,0,4600300,6,0,0,0,0,0,6,0,6,6,0,0
2021HU0001178,442,0,0,0,0,4600500,24,0,0,0,0,0,24,0,0,24,0,0
2021HU0002000,445,0,0,0,0,4600400,163,0,0,0,0,0,163,0,0,0,0,0
2021HU0002564,170,0,0,0,0,4600600,159,0,0,0,0,0,159,0,0,0,0,0
2021HU0003845,69,0,1,1,1,4600200,83,83,0,0,0,0,83,0,83,0,83,0
2021HU0004336,276,0,0,0,0,4600500,25,0,0,0,0,0,25,0,25,25,0,0
2021HU0005070,501,0,0,0,0,4600100,134,0,0,0,0,0,134,0,0,134,0,0
2021HU0005422,501,0,0,0,0,4600100,241,0,0,0,0,0,241,0,0,0,241,0
2021HU0005460,170,0,0,0,0,4600400,43,0,0,0,0,0,43,0,0,43,0,0
2021HU0006226,374,0,0,0,0,4600400,15,0,0,0,0,0,15,0,0,15,15,0
2021HU0006254,501,0,0,0,0,4600600,82,0,0,82,0,0,82,0,0,82,0,0
2021HU0006490,418,0,0,0,0,4600100,116,0,0,0,0,0,116,0,0,0,0,0
2021HU0008060,402,0,0,1,0,4600100,151,0,0,0,0,0,151,0,151,151,0,0
2021HU0009029,293,0,0,0,0,4600500,32,32,0,0,0,0,32,0,0,32,32,0
2021HU0009334,206,0,0,0,0,4600500,11,0,0,0,0,0,11,0,0,11,11,0
2021HU0009476,501,0,0,0,0,4600500,38,0,0,0,0,0,38,0,38,38,0,0
2021HU0009529,254,0,0,0,0,4600300,19,0,0,0,0,0,19,0,0,19,19,0
2021HU0010555,501,0,0,0,0,4600400,44,0,0,0,0,0,44,0,0,0,0,0
2021HU0010711,170,0,0,0,0,4600600,132,0,0,0,0,0,132,0,0,0,0,0
2021HU0010957,265,0,0,0,0,4600400,24,0,0,0,0,0,24,0,0,0,0,0
2021HU0011050,287,0,0,0,0,4600300,37,0,0,0,0,0,37,0,0,37,0,0
2021HU0011275,298,0,0,0,0,4600500,42,0,0,0,0,0,42,0,0,0,0,0
2021HU0011636,245,0,0,0,0,4600400,11,0,0,0,0,0,11,0,0,11,0,0
2021HU0011737,349,0,0,0,0,4600300,46,0,0,0,0,0,46,0,0,0,0,0
2021HU0011748,501,0,0,0,0,4600400,14,0,0,0,0,0,14,0,0,0,0,0
2021HU0011767,501,0,0,0,0,4600100,409,0,0,0,0,0,409,0,0,0,0,0
2021HU0012114,294,0,0,0,0,4600400,57,0,0,0,0,0,57,0,0,57,57,0
2021HU0012213,69,0,0,1,0,4600200,31,0,0,0,0,0,31,0,0,31,31,0
2021HU0012414,230,0,0,0,0,4600100,100,0,0,0,0,0,100,0,0,100,0,0
2021HU0012472,210,0,0,0,0,4600600,277,0,0,0,0,0,277,0,0,0,0,0
2021HU0013078,414,0,0,0,0,4600300,29,0,0,0,0,0,29,0,0,29,0,0
2021HU0013126,440,0,0,0,0,4600500,33,0,0,0,0,0,33,0,0,0,0,0
2021HU0014340,0,0,0,0,0,4600300,49,0,0,0,0,0,49,0,0,0,49,0
2021HU0014348,501,0,0,0,0,4600600,46,0,0,0,0,0,46,0,0,46,0,0
2021HU0014916,359,0,0,0,0,4600600,122,122,0,0,0,0,122,0,0,0,0,0
2021HU0016172,501,0,0,0,0,4600200,125,0,0,0,0,0,125,0,125,125,0,0
2021HU0016572,501,0,0,0,0,4600300,25,0,0,0,0,0,25,0,0,25,0,0
2021HU0017063,444,0,0,0,0,4600500,48,0,0,0,0,0,48,0,0,48,48,0
2021HU0017518,90,0,0,0,0,4600500,194,0,0,0,0,0,194,0,0,194,0,0
2021HU0017813,285,0,0,0,0,4600400,37,0,0,0,0,0,37,0,0,0,0,0
2021HU0017819,195,0,0,1,0,4600600,251,251,0,0,0,0,251,0,0,0,0,0
2021HU0019044,501,0,0,0,0,4600100,384,0,0,0,0,0,384,0,0,0,0,0
2021HU0020163,501,0,0,0,0,4600600,74,0,0,0,0,0,74,0,74,74,74,0
2021HU0020582,123,0,0,0,0,4600300,19,19,0,0,0,0,19,0,0,0,0,0
2021HU0020787,501,0,0,0,0,4600600,893,0,0,0,0,0,893,0,0,893,0,0
2021HU0023252,258,0,0,0,0,4600100,43,0,0,0,0,0,43,0,0,0,0,0
2021HU0023399,501,0,0,0,0,4600200,22,0,0,0,0,0,22,0,0,22,0,0
2021HU0023767,164,0,0,1,0,4600500,23,0,0,0,0,0,23,0,0,0,0,0
2021HU0023808,501,0,0,0,0,4600200,34,0,0,0,0,0,34,0,0,34,0,0
2021HU0024041,24,1,0,1,1,4600600,186,186,0,0,0,0,186,0,0,0,186,0
2021HU0024123,481,0,0,0,0,4600300,25,0,0,0,0,0,25,0,0,25,0,0
2021HU0024166,284,0,0,0,0,4600100,110,0,0,0,0,0,110,0,110,0,110,0
2021HU0024719,315,0,0,0,0,4600500,33,0,0,0,0,0,33,0,0,0,0,0
2021HU0025945,501,0,0,0,0,4600500,170,0,0,0,0,0,170,0,0,0,0,0
2021HU0026306,55,1,1,1,1,4600200,30,0,30,0,0,0,0,0,0,0,30,30
2021HU0026384,473,0,0,0,0,4600100,129,0,0,0,0,0,129,0,0,129,0,0
2021HU0026726,501,0,0,0,0,4600100,130,0,0,0,0,0,130,0,130,0,0,0
2021HU0027392,170,0,0,0,0,4600100,49,0,0,0,0,0,49,0,0,49,0,0
2021HU0027845,501,0,0,0,0,4600300,48,48,0,0,0,0,48,0,0,0,0,0
2021HU0028432,203,0,0,0,0,4600300,328,0,0,0,0,0,328,0,0,328,0,0
2021HU0028982,434,0,1,1,0,4600300,17,0,0,0,0,0,17,0,17,17,17,0
2021HU0029275,501,0,0,0,0,4600300,23,0,0,0,0,0,23,0,23,23,23,0
2021HU0029682,310,0,0,0,0,4600300,37,0,0,0,0,0,37,0,0,0,0,0
2021HU0030184,111,0,1,1,1,4600300,187,0,0,0,0,0,187,0,0,0,0,0
2021HU0030205,501,0,0,0,0,4600400,212,212,0,0,0,0,212,212,0,0,0,0
2021HU0031738,394,0,0,0,0,4600100,138,0,0,0,0,0,138,0,0,138,0,0
2021HU0032136,501,0,0,0,0,4600400,31,0,0,0,0,0,31,0,31,0,0,0
2021HU0032265,23,0,0,1,0,4600100,70,70,70,0,0,0,70,0,0,0,0,0
2021HU0032487,501,0,0,0,0,4600400,29,0,0,0,0,0,29,0,0,29,29,0
2021HU0032490,488,0,0,0,0,4600100,203,0,0,0,0,0,203,0,0,0,0,0
2021HU0032720,278,0,0,0,0,4600300,8,8,0,0,0,0,0,0,8,0,0,0
2021HU0032791,501,0,0,0,0,4600400,10,0,0,0,0,0,10,0,10,10,0,0
2021HU0032931,235,0,0,0,0,4600200,49,49,0,0,0,0,0,0,0,0,0,0
2021HU0033488,295,0,0,0,0,4600100,72,0,0,0,0,0,72,0,0,0,0,0
2021HU0033670,382,0,0,0,0,4600400,147,0,0,0,0,0,147,0,0,0,0,0
2021HU0033805,0,0,0,0,0,4600200,79,0,0,0,0,0,79,0,79,79,0,0
2021HU0033879,380,0,0,0,0,4600200,140,0,0,0,0,0,140,0,140,0,140,0
2021HU0034226,468,0,0,0,0,4600300,35,0,0,0,0,0,35,0,35,0,0,0
2021HU0034315,229,0,0,0,0,4600600,138,0,0,0,0,0,138,0,0,138,0,0
2021HU0034422,438,0,0,0,0,4600100,122,0,0,0,0,0,122,0,0,122,122,0
2021HU0034943,172,0,0,0,0,4600500,131,0,0,0,0,0,131,0,0,0,0,0
2021HU0034944,336,0,0,0,0,4600100,78,0,0,0,0,0,78,0,0,0,0,0
2021HU0035267,386,0,0,0,0,4600400,58,0,0,0,0,0,58,0,0,0,0,0
2021HU0035334,501,0,0,0,0,4600200,60,60,0,0,0,0,60,0,0,60,0,0
2021HU0035679,473,0,0,0,1,4600100,123,0,0,0,0,0,123,0,0,123,123,0
2021HU0036132,501,0,0,0,0,4600200,38,0,0,0,0,0,38,0,38,38,0,0
2021HU0036465,360,0,0,0,0,4600200,285,0,0,0,0,0,285,0,0,0,0,0
2021HU0036772,245,0,0,1,0,4600300,131,131,0,0,0,0,0,0,0,131,131,0
2021HU0037072,370,0,0,0,0,4600400,205,0,0,0,0,0,205,0,0,205,0,0
2021HU0037608,140,0,1,1,1,4600100,142,0,0,0,0,0,142,0,142,142,142,0
2021HU0037747,501,0,0,0,0,4600200,31,31,0,0,0,0,0,0,0,31,0,0
2021HU0037864,501,0,0,0,0,4600300,41,0,0,0,0,0,41,0,0,0,0,0
2021HU0038200,331,0,0,0,0,4600100,324,0,0,0,0,0,324,0,0,0,0,0
2021HU0038356,471,0,0,0,0,4600100,341,341,0,0,0,0,341,0,0,341,0,0
2021HU0038462,297,0,0,0,0,4600400,52,0,0,0,0,0,52,0,0,52,0,0
2021HU0039024,269,0,0,0,0,4600400,212,0,0,0,0,0,212,0,0,0,0,0
2021HU0039350,0,0,0,0,0,4600100,107,0,0,0,0,0,107,0,107,107,107,0
2021HU0039444,207,0,0,0,0,4600600,88,0,0,0,0,0,88,0,0,88,88,0
2021HU0039526,121,0,0,0,0,4600100,198,0,0,0,0,0,198,0,0,0,0,0
2021HU0040106,133,1,0,0,0,4600300,131,0,0,0,0,0,131,0,131,131,131,0
2021HU0040441,101,0,0,0,0,4600600,173,0,0,0,0,0,173,0,0,0,0,0
2021HU0041006,0,0,0,0,0,4600200,28,28,0,0,0,0,0,0,0,0,0,0
2021HU0041576,491,0,0,0,0,4600500,101,0,0,0,0,0,101,0,0,101,0,0
2021HU0042109,501,0,0,1,0,4600300,109,0,0,0,0,0,109,0,109,109,0,0
2021HU0042628,178,0,0,1,0,4600100,137,137,0,0,0,0,0,0,0,137,0,0
2021HU0042663,118,0,1,1,1,4600600,94,0,0,0,0,0,94,0,0,94,94,0
2021HU0043584,405,0,0,0,0,4600300,32,32,0,0,0,0,0,0,0,32,32,0
2021HU0044761,204,0,0,0,0,4600300,513,0,0,0,0,0,513,0,0,0,0,0
2021HU0044806,109,0,0,0,0,4600200,13,0,0,0,0,0,13,0,0,0,0,0
2021HU0045002,218,0,0,0,0,4600500,130,0,0,0,0,0,130,0,0,0,0,0
2021HU0045323,501,0,0,0,0,4600200,53,0,0,0,0,0,53,0,0,53,0,0
2021HU0045463,62,1,0,0,1,4600200,53,53,0,0,0,0,0,0,0,0,53,0
2021HU0045865,242,0,0,0,0,4600300,28,0,0,0,0,0,28,0,0,0,0,0
2021HU0045997,501,0,0,0,0,4600500,100,0,0,0,0,0,100,0,0,100,0,0
2021HU0046078,388,0,0,0,0,4600400,157,0,0,0,0,0,157,0,0,0,0,0
2021HU0046545,69,0,1,1,0,4600400,66,0,0,0,0,0,66,0,0,0,66,0
2021HU0047319,334,0,0,0,0,4600300,10,0,0,0,0,0,10,10,0,10,0,0
2021HU0048205,81,0,0,0,0,4600200,199,0,0,0,0,0,199,0,0,0,0,0
2021HU0048580,363,0,0,0,0,4600300,27,0,0,0,0,0,27,0,0,27,27,0
2021HU0049243,501,0,0,0,0,4600300,30,0,0,0,0,0,30,0,0,30,30,0
2021HU0049414,112,0,0,0,0,4600400,43,0,0,0,0,0,43,0,0,43,0,0
2021HU0050383,80,0,0,0,1,4600300,61,61,0,0,0,0,0,0,61,61,0,0
2021HU0050475,290,0,0,0,0,4600100,35,0,0,0,0,0,35,0,35,35,35,0
2021HU0050565,501,0,0,0,0,4600400,85,0,0,0,0,0,85,0,0,0,0,0
2021HU0050881,501,0,0,0,0,4600100,42,0,0,0,0,0,42,0,0,42,42,0
2021HU0051616,316,0,0,0,0,4600500,39,0,0,0,0,0,39,0,0,39,0,0
2021HU0051876,459,0,0,0,0,4600500,32,0,0,0,0,0,32,0,32,0,0,0
2021HU0051925,309,0,0,0,0,4600500,196,0,0,0,0,0,196,0,0,0,0,0
2021HU0051944,263,0,0,0,0,4600200,24,24,0,0,0,0,24,0,0,0,0,0
2021HU0052262,296,0,0,0,0,4600600,469,0,0,0,0,0,469,0,0,0,0,0
2021HU0052807,501,0,0,0,0,4600300,62,0,0,0,0,0,62,0,0,62,0,0
2021HU0053159,189,0,0,1,1,4600400,59,0,0,0,0,0,59,0,0,0,0,0
2021HU0053321,501,0,0,0,0,4600600,70,0,0,0,0,0,70,0,70,0,0,0
2021HU0053827,501,0,0,0,0,4600200,135,0,0,0,0,0,135,0,0,0,0,0
2021HU0053874,501,0,0,0,0,4600100,161,0,0,0,0,0,161,0,0,161,0,0
2021HU0054321,501,0,0,0,0,4600500,110,0,0,0,0,0,110,0,0,0,0,0
2021HU0055012,221,0,0,0,0,4600200,50,0,0,0,0,0,50,0,0,0,0,0
2021HU0055226,501,0,0,0,0,4600600,136,0,0,0,0,0,136,0,0,136,0,0
