state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679
47,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,96
47,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,65
47,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,44,44
47,0,0,0,0,0,0,0,0,0,0,0,144,0,0,144,144,144
47,0,0,0,0,0,0,0,0,0,0,0,359,0,359,0,359,359
47,0,0,0,0,0,0,0,0,0,0,8702,0,0,0,0,0,8702
47,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,275,275
47,0,0,0,0,0,0,0,0,0,0,1993,0,0,0,1993,0,1993
47,0,0,0,0,0,0,0,0,0,0,106,0,0,0,106,106,106
47,0,0,0,0,0,0,0,0,0,0,6555,0,0,6555,0,0,6555
47,0,0,0,0,0,0,0,0,0,0,1480,0,0,1480,1480,0,1480
47,0,0,0,0,0,0,0,0,0,0,73,0,0,73,73,73,73
47,0,0,0,0,0,0,0,0,0,0,363,0,363,0,0,0,363
47,0,0,0,0,0,0,0,0,0,0,142,0,142,0,142,0,142
47,0,0,0,0,0,0,0,0,0,0,900,0,900,900,0,0,900
47,0,0,0,0,0,0,0,0,0,0,606,0,606,606,606,0,606
47,0,0,0,0,0,0,0,0,0,0,947,947,0,0,0,0,947
47,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,46,46
47,0,0,0,0,0,0,0,0,0,0,160,160,0,160,0,0,160
47,0,0,0,0,0,0,0,0,0,0,11,11,0,11,0,11,11
47,0,0,0,0,0,0,0,0,0,0,112,112,112,112,0,0,112
47,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28
47,0,0,0,0,0,0,0,2993,0,0,0,0,0,0,0,0,2993
47,0,0,0,0,0,0,0,320,0,0,0,0,0,0,320,0,320
47,0,0,0,0,0,0,0,960,0,0,0,0,0,960,0,0,960
47,0,0,0,0,0,0,0,148,0,0,0,0,0,148,0,148,148
47,0,0,0,0,0,0,0,301,0,0,0,0,0,301,301,0,301
47,0,0,0,0,0,0,0,188,0,0,0,0,188,188,0,0,188
47,0,0,0,0,0,0,0,46,0,0,0,0,46,46,46,0,46
47,0,0,0,0,0,0,0,142,0,0,142,0,0,0,0,0,142
47,0,0,0,0,0,0,0,107,0,0,107,107,0,0,0,0,107
47,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,232
47,0,0,0,0,0,0,70,0,0,0,0,0,0,0,70,0,70
47,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,20,20
47,0,0,0,0,0,0,161,0,0,0,161,0,0,0,0,0,161
47,0,0,0,0,0,106,0,0,0,0,106,0,0,0,0,0,106
47,0,0,0,0,0,70,0,0,0,0,70,0,0,70,0,0,70
47,0,0,0,0,0,58,0,0,0,0,58,0,0,58,58,0,58
47,0,0,0,0,0,69,0,69,0,0,69,69,0,0,0,0,69
47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,0,49
47,0,0,0,0,1,0,0,0,0,0,1272,0,0,0,0,0,1272
47,0,0,0,0,1,0,0,0,0,0,1398,0,0,0,1398,0,1398
47,0,0,0,0,1,0,0,0,0,0,32,0,0,32,0,0,32
47,0,0,0,0,1,0,0,0,0,0,752,0,0,752,752,0,752
47,0,0,0,0,1,0,0,0,0,0,76,0,76,0,0,0,76
47,0,0,0,0,1,0,0,0,0,0,179,0,179,0,179,0,179
47,0,0,0,0,1,0,0,0,0,0,94,0,94,94,0,0,94
47,0,0,0,0,1,0,0,0,0,0,32,0,32,32,32,0,32
47,0,0,0,0,1,0,0,0,0,0,180,180,0,180,0,180,180
47,0,0,0,0,1,0,0,730,0,0,0,0,0,0,0,0,730
47,0,0,0,0,1,0,0,424,0,0,0,0,0,0,424,0,424
47,0,0,0,0,1,0,0,252,0,0,0,0,0,252,0,0,252
47,0,0,0,0,1,0,0,107,0,0,0,0,0,107,107,0,107
47,0,0,0,0,1,0,0,185,0,0,0,0,185,185,0,0,185
47,0,0,0,0,1,0,0,14,0,0,14,0,0,14,14,0,14
47,0,0,0,0,1,6,0,0,0,0,6,0,0,0,0,0,6
47,0,0,0,0,1,41,0,41,0,0,0,0,0,41,0,0,41
47,0,0,0,1,0,0,0,0,0,0,0,122,0,122,122,0,122
47,0,0,0,1,0,0,0,0,0,0,2799,0,0,0,0,0,2799
47,0,0,0,1,0,0,0,0,0,0,958,0,0,0,958,0,958
47,0,0,0,1,0,0,0,0,0,0,136,0,0,136,0,0,136
47,0,0,0,1,0,0,0,0,0,0,545,0,0,545,545,0,545
47,0,0,0,1,0,0,0,0,0,0,64,0,64,0,0,0,64
47,0,0,0,1,0,0,0,0,0,0,55,0,55,55,0,0,55
47,0,0,0,1,0,0,0,0,0,0,47,0,47,47,47,0,47
47,0,0,0,1,0,0,0,0,0,0,320,320,0,0,0,320,320
47,0,0,0,1,0,0,0,0,0,0,103,103,0,0,103,0,103
47,0,0,0,1,0,0,0,1534,0,0,0,0,0,0,0,0,1534
47,0,0,0,1,0,0,0,138,0,0,0,0,0,0,138,0,138
47,0,0,0,1,0,0,0,56,0,0,0,0,0,56,0,0,56
47,0,0,0,1,0,0,0,166,0,0,0,0,0,166,166,0,166
47,0,0,0,1,0,0,0,98,0,0,0,0,98,0,0,0,98
47,0,0,0,1,0,0,0,205,0,0,0,0,205,205,0,0,205
47,0,0,0,1,0,0,0,150,0,0,0,0,150,150,150,0,150
47,0,0,0,1,0,0,0,68,0,0,68,0,0,0,0,0,68
47,0,0,0,1,0,0,0,153,0,0,153,0,0,0,153,0,153
47,0,0,0,1,0,34,0,0,0,0,0,34,0,0,34,34,34
47,0,0,0,1,0,174,0,0,0,0,174,0,0,0,0,0,174
47,0,0,0,1,0,36,0,0,0,0,36,0,0,0,36,0,36
47,0,0,0,1,0,33,0,0,0,0,33,0,0,0,33,33,33
47,0,0,0,1,0,66,0,0,0,0,66,0,0,66,0,0,66
47,0,0,0,1,0,25,0,25,0,0,0,0,0,25,0,0,25
47,0,0,0,1,1,0,0,0,0,0,0,50,0,0,0,50,50
47,0,0,0,1,1,0,0,0,0,0,1893,0,0,0,0,0,1893
47,0,0,0,1,1,0,0,0,0,0,2362,0,0,0,2362,0,2362
47,0,0,0,1,1,0,0,0,0,0,194,0,0,194,0,0,194
47,0,0,0,1,1,0,0,0,0,0,254,0,0,254,254,0,254
47,0,0,0,1,1,0,0,0,0,0,371,371,0,0,0,371,371
47,0,0,0,1,1,0,0,0,0,0,382,382,0,0,382,0,382
47,0,0,0,1,1,0,0,2849,0,0,0,0,0,0,0,0,2849
47,0,0,0,1,1,0,0,95,0,0,0,0,0,0,0,95,95
47,0,0,0,1,1,0,0,1194,0,0,0,0,0,0,1194,0,1194
47,0,0,0,1,1,0,0,201,0,0,0,0,0,201,0,0,201
47,0,0,0,1,1,0,0,143,0,0,0,0,0,143,143,0,143
47,0,0,0,1,1,0,0,55,0,0,0,0,55,55,0,0,55
47,0,0,0,1,1,0,0,446,0,0,446,0,0,0,0,0,446
47,0,0,0,1,1,0,0,278,0,0,278,0,0,0,278,0,278
47,0,0,0,1,1,0,367,0,0,0,0,0,0,367,0,367,367
47,0,0,0,1,1,23,0,0,0,0,23,0,0,0,0,0,23
47,0,0,0,1,1,189,0,0,0,0,189,0,0,0,189,0,189
47,0,0,0,1,1,230,0,0,0,0,230,0,0,230,230,0,230
47,0,0,0,1,1,26,0,26,0,0,0,0,26,26,0,0,26
