state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,366
48,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,304
48,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45
48,0,0,0,0,0,0,0,0,0,0,0,0,121,121,0,0,121
48,0,0,0,0,0,0,0,0,0,0,0,1927,0,0,0,0,1927
48,0,0,0,0,0,0,0,0,0,0,0,2746,0,0,0,2746,2746
48,0,0,0,0,0,0,0,0,0,0,0,739,0,0,739,0,739
48,0,0,0,0,0,0,0,0,0,0,0,589,0,0,589,589,589
48,0,0,0,0,0,0,0,0,0,0,0,556,0,556,0,0,556
48,0,0,0,0,0,0,0,0,0,0,0,1407,0,1407,0,1407,1407
48,0,0,0,0,0,0,0,0,0,0,0,367,0,367,367,0,367
48,0,0,0,0,0,0,0,0,0,0,0,484,0,484,484,484,484
48,0,0,0,0,0,0,0,0,0,0,0,121,121,121,121,0,121
48,0,0,0,0,0,0,0,0,0,0,22801,0,0,0,0,0,22801
48,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,672,672
48,0,0,0,0,0,0,0,0,0,0,4538,0,0,0,4538,0,4538
48,0,0,0,0,0,0,0,0,0,0,12630,0,0,12630,0,0,12630
48,0,0,0,0,0,0,0,0,0,0,177,0,0,177,0,177,177
48,0,0,0,0,0,0,0,0,0,0,5473,0,0,5473,5473,0,5473
48,0,0,0,0,0,0,0,0,0,0,93,0,0,93,93,93,93
48,0,0,0,0,0,0,0,0,0,0,1158,0,1158,0,0,0,1158
48,0,0,0,0,0,0,0,0,0,0,67,0,67,0,67,0,67
48,0,0,0,0,0,0,0,0,0,0,2357,0,2357,2357,0,0,2357
48,0,0,0,0,0,0,0,0,0,0,88,0,88,88,0,88,88
48,0,0,0,0,0,0,0,0,0,0,2458,0,2458,2458,2458,0,2458
48,0,0,0,0,0,0,0,0,0,0,14802,14802,0,0,0,0,14802
48,0,0,0,0,0,0,0,0,0,0,8855,8855,0,0,0,8855,8855
48,0,0,0,0,0,0,0,0,0,0,2039,2039,0,0,2039,0,2039
48,0,0,0,0,0,0,0,0,0,0,821,821,0,0,821,821,821
48,0,0,0,0,0,0,0,0,0,0,2812,2812,0,2812,0,0,2812
48,0,0,0,0,0,0,0,0,0,0,2667,2667,0,2667,0,2667,2667
48,0,0,0,0,0,0,0,0,0,0,1538,1538,0,1538,1538,0,1538
48,0,0,0,0,0,0,0,0,0,0,791,791,0,791,791,791,791
48,0,0,0,0,0,0,0,0,0,0,135,135,135,0,0,0,135
48,0,0,0,0,0,0,0,0,0,0,78,78,78,0,78,0,78
48,0,0,0,0,0,0,0,0,0,0,216,216,216,216,0,0,216
48,0,0,0,0,0,0,0,0,0,0,216,216,216,216,216,0,216
48,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,38
48,0,0,0,0,0,0,0,0,0,48,48,48,0,0,0,48,48
48,0,0,0,0,0,0,0,8360,0,0,0,0,0,0,0,0,8360
48,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,472,472
48,0,0,0,0,0,0,0,649,0,0,0,0,0,0,649,0,649
48,0,0,0,0,0,0,0,51,0,0,0,0,0,0,51,51,51
48,0,0,0,0,0,0,0,2939,0,0,0,0,0,2939,0,0,2939
48,0,0,0,0,0,0,0,153,0,0,0,0,0,153,0,153,153
48,0,0,0,0,0,0,0,649,0,0,0,0,0,649,649,0,649
48,0,0,0,0,0,0,0,203,0,0,0,0,203,0,0,0,203
48,0,0,0,0,0,0,0,930,0,0,0,0,930,930,0,0,930
48,0,0,0,0,0,0,0,1054,0,0,0,1054,0,0,0,0,1054
48,0,0,0,0,0,0,0,449,0,0,0,449,0,449,0,0,449
48,0,0,0,0,0,0,0,108,0,0,0,108,0,108,0,108,108
48,0,0,0,0,0,0,0,40,0,0,0,40,0,40,40,40,40
48,0,0,0,0,0,0,0,174,0,0,0,174,174,0,0,0,174
48,0,0,0,0,0,0,0,476,0,0,476,0,0,0,0,0,476
48,0,0,0,0,0,0,0,255,0,0,255,0,0,255,255,0,255
48,0,0,0,0,0,0,0,157,0,0,157,0,157,0,0,0,157
48,0,0,0,0,0,0,0,23,0,0,23,0,23,23,0,0,23
48,0,0,0,0,0,0,0,293,0,0,293,0,293,293,293,0,293
48,0,0,0,0,0,0,0,201,0,0,201,201,0,0,0,0,201
48,0,0,0,0,0,0,0,126,0,0,126,126,0,0,0,126,126
48,0,0,0,0,0,0,0,174,0,0,174,174,0,0,174,0,174
48,0,0,0,0,0,0,5449,0,0,0,0,0,0,0,0,0,5449
48,0,0,0,0,0,0,2345,0,0,0,0,0,0,0,0,2345,2345
48,0,0,0,0,0,0,168,0,0,0,0,0,0,0,168,0,168
48,0,0,0,0,0,0,213,0,0,0,0,0,0,0,213,213,213
48,0,0,0,0,0,0,310,0,0,0,0,0,0,310,0,0,310
48,0,0,0,0,0,0,1407,0,0,0,0,0,0,1407,0,1407,1407
48,0,0,0,0,0,0,164,0,0,0,0,0,0,164,164,0,164
48,0,0,0,0,0,0,298,0,0,0,0,0,0,298,298,298,298
48,0,0,0,0,0,0,126,0,0,0,0,0,126,0,0,0,126
48,0,0,0,0,0,0,104,0,0,0,0,0,104,104,104,104,104
48,0,0,0,0,0,0,136,0,0,0,0,136,0,0,0,0,136
48,0,0,0,0,0,0,263,0,0,0,0,263,0,0,0,263,263
48,0,0,0,0,0,0,708,0,0,0,708,0,0,0,0,0,708
48,0,0,0,0,0,0,527,0,0,0,527,0,0,0,0,527,527
48,0,0,0,0,0,0,118,0,0,0,118,0,0,0,118,0,118
48,0,0,0,0,0,0,357,0,0,0,357,0,0,357,357,0,357
48,0,0,0,0,0,0,1100,0,0,0,1100,1100,0,0,0,0,1100
48,0,0,0,0,0,0,311,311,0,0,0,0,0,0,0,0,311
