SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000216,428,0,0,0,0,4903001,152,0,152,0,0,0,152,0,0,0,0,0
2021HU0000535,125,0,0,0,0,4935009,286,0,286,0,0,0,0,0,0,286,286,286
2021HU0000630,258,0,0,0,0,4935007,88,0,0,0,0,0,88,0,0,0,0,0
2021HU0000672,348,0,0,0,0,4935007,124,0,0,0,0,0,124,0,0,0,124,0
2021HU0000693,495,0,0,0,0,4949003,49,0,0,0,0,0,49,0,0,0,0,0
2021HU0000711,360,0,0,0,0,4921001,151,0,0,0,0,0,151,0,0,151,151,0
2021HU0000735,501,0,0,0,0,4935003,171,0,0,0,0,0,171,171,171,0,0,0
2021HU0000747,501,0,0,0,0,4935005,54,0,0,0,0,0,54,0,0,54,0,0
2021HU0000755,357,0,0,0,0,4935003,97,0,0,0,0,0,97,0,97,97,0,0
2021HU0000862,312,0,0,0,0,4935006,93,0,0,0,0,0,93,0,0,0,0,0
2021HU0000864,501,0,0,0,0,4957002,62,0,0,0,0,0,62,0,0,0,0,0
2021HU0000995,69,0,0,1,1,4949003,148,0,0,0,0,0,148,0,0,148,148,0
2021HU0001030,501,0,0,0,0,4935007,71,0,0,0,0,0,71,0,0,71,0,0
2021HU0001372,251,0,0,0,0,4935003,65,0,0,0,0,0,65,0,0,65,0,0
2021HU0001403,501,0,0,0,0,4949004,65,0,0,0,0,0,65,0,0,65,0,0
2021HU0001816,501,0,0,0,0,4957001,95,0,0,0,0,0,95,0,0,0,0,0
2021HU0001856,501,0,0,0,0,4949003,58,0,58,0,0,0,0,0,0,0,0,0
2021HU0001934,337,0,0,0,0,4911001,158,0,0,0,0,0,158,0,0,158,0,0
2021HU0002056,370,0,0,0,0,4949002,62,0,0,0,0,0,62,0,62,62,0,0
2021HU0002064,216,0,0,0,0,4935007,59,0,0,0,0,0,59,0,0,59,0,0
2021HU0002116,197,1,0,1,1,4903001,103,0,0,0,0,0,103,0,0,0,0,0
2021HU0002148,231,0,0,0,0,4921001,47,0,0,0,0,0,47,0,0,0,0,0
