puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
5101301,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,129
5101301,0,0,0,0,0,0,0,0,0,0,47,0,0,0,47,0,47
5101301,0,0,0,0,0,0,0,0,0,0,299,0,0,299,0,0,299
5101301,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,62
5101301,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,382
5101301,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2
5101301,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5101301,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,111,111
5101301,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
5101301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
5101301,0,0,0,1,0,0,0,0,0,0,124,124,0,0,0,0,124
5101301,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
5101301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1
5101301,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
5101301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
5101301,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,8,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,184
5101301,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
5101301,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
5101301,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,11,0,0,1,1,82,0,0,0,0,0,82,82,82,82,82,82
5101301,12,0,0,0,0,0,0,0,0,0,78,0,78,78,0,0,78
5101301,14,0,0,0,0,0,75,0,0,0,75,0,0,0,0,0,75
5101301,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5101301,15,0,0,0,0,0,124,0,0,0,0,0,0,124,124,0,124
5101301,16,0,0,1,1,0,0,0,0,0,106,106,0,0,0,106,106
5101301,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5101301,22,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
5101301,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5101301,24,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4,4
5101301,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,28,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
5101301,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,34,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,122
5101301,34,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
5101301,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
5101301,36,0,0,0,0,0,0,0,0,0,98,0,0,98,0,0,98
5101301,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,41,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,42,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,142
5101301,42,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
5101301,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5101301,45,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
5101301,47,0,0,1,1,0,0,71,0,0,0,0,0,71,0,0,71
5101301,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5101301,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,50,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,108
5101301,55,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
5101301,55,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
5101301,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5101301,57,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,41
5101301,57,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5101301,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,58,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
5101301,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,63,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,127
5101301,63,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
5101301,63,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,64,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,147
5101301,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
5101301,64,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
5101301,64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5101301,67,0,0,1,0,49,0,49,0,0,0,0,0,0,0,0,49
5101301,68,0,0,0,0,0,70,0,0,0,0,0,0,0,0,70,70
5101301,68,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5101301,71,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38
5101301,71,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,47
5101301,72,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,49
5101301,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101301,72,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,141
5101301,72,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
