cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
5000,0,0,0,0,0,0,0,0,0,0,869,0,0,0,0,0,869
5000,0,0,0,0,0,0,0,0,0,0,360,0,0,360,0,0,360
5000,0,0,0,0,0,0,0,0,0,0,130,130,0,0,130,0,130
5000,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,193
5000,0,0,0,0,0,0,67,0,0,0,0,0,0,0,67,0,67
5000,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0,53
5000,0,0,0,1,0,0,0,0,0,0,148,0,0,0,0,0,148
5000,0,0,0,1,0,0,0,0,0,0,660,0,0,0,660,0,660
5000,0,0,0,1,0,0,0,0,0,0,211,0,0,211,211,0,211
5000,0,0,0,1,0,0,0,0,0,0,39,0,39,0,0,0,39
5000,0,0,0,1,1,0,0,0,0,0,37,0,0,0,0,0,37
5000,0,0,0,1,1,0,0,0,0,0,60,0,0,0,60,0,60
5000,0,0,0,1,1,0,0,0,0,0,276,0,0,276,0,0,276
5000,0,0,0,1,1,0,0,0,0,0,81,0,81,81,81,0,81
5000,0,0,1,1,0,0,0,0,0,0,443,0,0,0,0,0,443
5000,1,0,0,0,0,0,0,0,0,0,69,0,0,69,0,0,69
5000,1,0,0,1,0,29,0,0,0,0,29,0,0,29,29,0,29
5000,2,0,0,0,0,0,0,0,0,0,274,0,0,0,274,0,274
5000,2,0,0,1,1,0,0,0,0,0,28,0,0,0,0,0,28
5000,3,0,0,1,1,0,0,0,0,0,33,0,0,0,0,0,33
5000,4,0,0,0,0,0,0,0,0,0,45,0,0,45,0,0,45
5000,4,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,19
5000,5,0,0,0,0,0,0,0,0,0,134,0,0,0,134,0,134
5000,5,0,0,0,0,0,0,0,0,0,121,0,0,121,0,0,121
5000,5,0,0,1,0,0,0,0,0,0,239,0,239,239,0,0,239
5000,5,0,0,1,1,0,0,0,0,0,168,0,0,0,168,0,168
5000,6,0,0,1,0,0,0,0,0,0,345,0,0,0,0,0,345
5000,7,0,0,1,0,0,0,0,0,0,163,0,0,0,0,0,163
5000,7,0,0,1,0,0,0,0,0,0,27,0,0,27,0,0,27
5000,7,1,0,1,1,0,0,0,0,0,54,0,0,0,0,0,54
5000,8,0,0,1,0,0,0,0,0,0,246,0,0,0,0,0,246
5000,8,0,0,1,0,0,0,0,0,0,332,0,0,332,332,0,332
5000,8,0,0,1,1,0,0,0,0,0,97,0,0,97,0,0,97
5000,10,0,1,1,1,0,0,0,0,0,54,0,0,0,54,0,54
5000,11,0,0,0,0,0,0,0,0,0,28,0,0,28,28,0,28
5000,11,0,1,1,0,0,0,0,0,0,26,0,0,26,0,0,26
5000,12,1,0,1,1,0,0,0,0,0,95,0,0,95,95,0,95
5000,14,0,0,0,0,186,0,186,0,0,186,186,0,0,0,186,186
5000,14,0,0,1,0,0,0,0,0,0,99,0,0,99,0,0,99
5000,14,0,0,1,1,0,0,0,0,0,27,0,0,27,0,0,27
5000,14,0,1,1,0,0,0,0,0,0,126,0,0,126,126,0,126
5000,15,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,47
5000,15,0,0,1,0,0,0,0,0,0,25,0,0,25,0,0,25
5000,15,0,0,1,0,0,0,0,0,0,120,0,0,120,120,0,120
5000,15,0,0,1,1,0,0,0,0,0,49,0,0,0,49,0,49
5000,16,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,241
5000,16,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,78
5000,16,0,0,0,0,0,0,0,0,0,44,0,44,44,44,0,44
5000,16,0,0,1,0,0,0,0,0,0,204,0,0,0,204,204,204
5000,18,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44
5000,20,0,0,0,0,0,0,0,0,0,26,0,0,26,26,0,26
5000,20,1,0,1,1,24,24,0,0,0,24,0,0,0,24,0,24
5000,21,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36
5000,21,0,0,0,0,0,0,0,0,0,107,0,0,107,107,0,107
5000,21,0,0,1,0,0,96,0,0,0,0,0,0,0,96,0,96
5000,25,0,0,1,0,0,0,0,0,0,183,0,0,0,0,0,183
