metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,869,0,0,0,0,0,869
99999,0,0,0,0,0,0,0,0,0,0,360,0,0,360,0,0,360
99999,0,0,0,0,0,0,0,0,0,0,130,130,0,0,130,0,130
99999,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,193
99999,0,0,0,0,0,0,67,0,0,0,0,0,0,0,67,0,67
99999,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0,53
99999,0,0,0,1,0,0,0,0,0,0,148,0,0,0,0,0,148
99999,0,0,0,1,0,0,0,0,0,0,660,0,0,0,660,0,660
99999,0,0,0,1,0,0,0,0,0,0,211,0,0,211,211,0,211
99999,0,0,0,1,0,0,0,0,0,0,39,0,39,0,0,0,39
99999,0,0,0,1,1,0,0,0,0,0,37,0,0,0,0,0,37
99999,0,0,0,1,1,0,0,0,0,0,60,0,0,0,60,0,60
99999,0,0,0,1,1,0,0,0,0,0,276,0,0,276,0,0,276
99999,0,0,0,1,1,0,0,0,0,0,81,0,81,81,81,0,81
99999,0,0,1,1,0,0,0,0,0,0,443,0,0,0,0,0,443
99999,1,0,0,0,0,0,0,0,0,0,69,0,0,69,0,0,69
99999,1,0,0,1,0,29,0,0,0,0,29,0,0,29,29,0,29
99999,2,0,0,0,0,0,0,0,0,0,274,0,0,0,274,0,274
99999,2,0,0,1,1,0,0,0,0,0,28,0,0,0,0,0,28
99999,3,0,0,1,1,0,0,0,0,0,33,0,0,0,0,0,33
99999,4,0,0,0,0,0,0,0,0,0,45,0,0,45,0,0,45
99999,4,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,19
99999,5,0,0,0,0,0,0,0,0,0,134,0,0,0,134,0,134
99999,5,0,0,0,0,0,0,0,0,0,121,0,0,121,0,0,121
99999,5,0,0,1,0,0,0,0,0,0,239,0,239,239,0,0,239
99999,5,0,0,1,1,0,0,0,0,0,168,0,0,0,168,0,168
99999,6,0,0,1,0,0,0,0,0,0,345,0,0,0,0,0,345
99999,7,0,0,1,0,0,0,0,0,0,163,0,0,0,0,0,163
99999,7,0,0,1,0,0,0,0,0,0,27,0,0,27,0,0,27
99999,7,1,0,1,1,0,0,0,0,0,54,0,0,0,0,0,54
99999,8,0,0,1,0,0,0,0,0,0,246,0,0,0,0,0,246
99999,8,0,0,1,0,0,0,0,0,0,332,0,0,332,332,0,332
99999,8,0,0,1,1,0,0,0,0,0,97,0,0,97,0,0,97
99999,10,0,1,1,1,0,0,0,0,0,54,0,0,0,54,0,54
99999,11,0,0,0,0,0,0,0,0,0,28,0,0,28,28,0,28
99999,11,0,1,1,0,0,0,0,0,0,26,0,0,26,0,0,26
99999,12,1,0,1,1,0,0,0,0,0,95,0,0,95,95,0,95
99999,14,0,0,0,0,186,0,186,0,0,186,186,0,0,0,186,186
99999,14,0,0,1,0,0,0,0,0,0,99,0,0,99,0,0,99
99999,14,0,0,1,1,0,0,0,0,0,27,0,0,27,0,0,27
99999,14,0,1,1,0,0,0,0,0,0,126,0,0,126,126,0,126
99999,15,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,47
99999,15,0,0,1,0,0,0,0,0,0,25,0,0,25,0,0,25
99999,15,0,0,1,0,0,0,0,0,0,120,0,0,120,120,0,120
99999,15,0,0,1,1,0,0,0,0,0,49,0,0,0,49,0,49
99999,16,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,241
