SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000011,501,0,0,0,0,5311801,15,0,0,0,0,0,15,0,15,0,0,0
2021HU0000069,40,0,0,0,0,5310501,84,0,0,0,0,0,84,0,0,0,0,0
2021HU0000075,51,0,0,1,0,5310400,33,0,0,0,0,0,33,0,0,33,33,0
2021HU0000083,288,0,0,1,1,5311611,297,0,0,297,0,0,297,0,0,0,0,0
2021HU0000100,501,0,0,0,0,5310200,12,0,0,0,0,0,12,0,0,12,12,0
2021HU0000125,277,0,0,0,0,5310504,199,199,0,0,0,0,199,0,0,199,199,0
2021HU0000243,366,1,0,0,0,5311605,109,0,0,0,0,0,109,0,109,0,0,0
2021HU0000283,501,0,0,0,0,5310902,101,101,0,0,0,0,0,0,0,101,101,0
2021HU0000391,113,0,0,0,0,5310400,110,0,0,0,0,0,110,0,0,0,0,0
2021HU0000413,340,0,0,0,0,5311605,51,0,0,0,0,0,51,0,0,51,0,0
2021HU0000462,135,0,0,0,0,5311200,116,0,0,0,0,0,116,0,0,116,116,0
2021HU0000506,143,0,0,1,1,5310600,9,0,0,0,0,0,9,0,0,0,0,0
2021HU0000601,427,0,0,1,1,5311613,288,0,0,0,0,0,0,288,0,0,288,288
2021HU0000639,501,0,0,0,0,5311200,51,0,0,0,0,0,51,0,0,0,0,0
2021HU0000666,231,0,0,0,0,5311605,154,0,0,0,0,0,154,154,0,0,0,154
2021HU0000681,501,0,0,0,0,5311607,142,0,142,0,0,0,142,0,0,0,0,0
2021HU0000686,501,0,1,1,0,5311300,98,0,0,0,0,0,98,0,98,98,0,0
2021HU0000690,501,0,0,0,0,5311615,50,0,0,0,0,0,50,0,0,50,0,0
2021HU0000732,501,0,0,0,0,5311501,101,101,0,0,0,0,101,101,0,0,0,0
2021HU0000743,46,0,0,1,0,5311101,232,0,0,232,0,0,0,0,0,232,0,0
2021HU0000913,37,0,0,1,1,5311801,9,9,0,0,0,0,9,0,0,0,0,0
2021HU0000939,229,0,0,0,0,5310800,37,0,0,0,0,0,37,0,37,37,37,0
2021HU0000959,501,0,0,0,0,5311801,104,0,0,0,0,0,104,0,0,0,0,0
2021HU0001007,30,0,1,1,1,5310902,33,33,0,0,0,0,33,33,0,33,0,0
2021HU0001071,71,0,0,0,0,5310501,232,0,0,0,0,0,232,0,0,0,0,0
2021HU0001160,501,0,0,0,0,5311613,62,0,0,62,0,0,0,0,0,0,0,0
