SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000016,285,0,0,1,0,5530000,129,0,0,0,0,0,129,0,0,0,0,0
2021HU0000059,501,0,0,0,0,5501601,30,0,0,0,0,0,30,0,0,30,30,0
2021HU0000077,265,0,0,0,0,5501600,24,0,0,0,0,0,24,0,0,24,24,0
2021HU0000094,264,0,0,0,0,5555101,27,0,0,0,0,0,27,0,0,0,0,27
2021HU0000131,358,0,0,0,0,5555101,49,0,0,0,0,0,49,0,0,0,0,0
2021HU0000293,501,0,0,0,0,5500300,210,0,0,0,0,0,210,0,0,0,0,0
2021HU0000315,241,0,0,0,0,5501401,21,0,0,0,0,0,21,0,0,21,0,0
2021HU0000370,282,0,0,0,0,5501600,32,0,0,0,0,0,32,0,0,32,0,0
2021HU0000414,501,0,0,0,0,5555103,98,0,0,0,0,0,98,0,0,98,0,0
2021HU0000460,111,0,0,0,0,5530000,113,0,0,0,0,0,113,0,0,0,0,0
2021HU0000474,501,0,0,0,0,5500800,100,0,0,0,0,0,100,0,0,100,0,0
2021HU0000590,195,0,0,1,1,5555102,107,0,0,0,0,0,107,0,0,0,107,107
2021HU0000594,466,0,0,0,0,5500300,36,0,0,0,0,0,36,0,0,36,0,0
2021HU0000602,123,0,0,1,0,5502500,202,0,0,0,0,0,202,0,0,202,0,0
2021HU0000825,248,0,0,1,0,5555101,30,0,0,0,0,0,30,0,0,0,0,0
2021HU0000831,226,0,0,1,0,5502400,101,0,0,101,0,0,101,0,101,0,0,0
2021HU0000922,371,0,0,0,0,5520000,218,0,0,0,0,0,218,0,0,0,0,0
2021HU0000969,432,0,0,0,0,5501401,25,0,0,0,0,0,25,0,0,0,0,0
2021HU0000987,266,0,1,1,0,5520000,95,0,0,0,0,0,95,0,0,0,95,0
2021HU0001009,277,0,0,0,0,5501401,94,0,0,0,0,0,94,0,0,94,94,0
2021HU0001144,501,0,0,0,0,5501401,46,0,0,0,0,0,46,0,46,46,46,0
2021HU0001159,197,0,0,0,0,5520000,108,0,0,0,0,0,108,0,0,0,0,0
2021HU0001251,229,0,0,0,0,5500800,32,0,0,0,0,0,32,0,0,32,0,0
2021HU0001258,501,0,0,0,0,5502500,126,0,0,0,0,0,126,0,0,126,0,0
2021HU0001466,447,0,0,0,0,5540701,135,0,0,0,0,0,135,0,135,135,0,0
