puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
5600100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,0,0,0,0,0,0,0,0,0,0,83,0,0,0,83,0,83
5600100,0,0,0,0,0,0,0,0,0,0,120,0,0,120,0,0,120
5600100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,0,0,0,1,0,0,0,0,0,0,49,0,0,49,0,0,49
5600100,0,0,0,1,0,0,0,0,0,0,64,0,0,64,64,0,64
5600100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,0,0,0,1,1,0,0,0,0,0,102,102,0,0,0,0,102
5600100,4,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,189
5600100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,7,0,0,1,0,0,0,0,0,0,138,0,0,138,138,0,138
5600100,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,12,0,0,0,0,0,0,0,0,0,18,0,18,18,0,0,18
5600100,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,15,0,0,0,0,0,0,0,0,0,99,0,99,99,99,0,99
5600100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,16,0,0,0,0,23,0,0,0,0,23,0,23,23,23,0,23
5600100,17,0,0,0,0,28,0,0,0,0,28,0,0,0,28,0,28
5600100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,20,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,425
5600100,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,22,0,0,0,0,0,0,0,0,0,119,0,119,119,0,0,119
5600100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,27,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,17
5600100,30,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17
5600100,31,0,0,0,0,0,0,0,0,0,38,0,0,0,38,0,38
5600100,37,0,0,0,0,0,0,0,0,0,157,157,0,157,0,0,157
5600100,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,40,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22
5600100,43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,44,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,234
5600100,46,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,24
5600100,48,0,0,0,0,0,0,0,0,0,80,0,0,80,80,0,80
5600100,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,48,0,1,1,1,0,0,0,0,0,171,0,0,0,0,0,171
5600100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,51,0,0,0,0,0,0,0,0,0,96,0,96,0,96,0,96
5600100,52,1,0,0,1,0,0,46,0,0,46,46,0,0,0,0,46
5600100,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,53,0,0,1,0,14,0,0,0,0,14,14,0,0,14,0,14
5600100,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,55,0,0,1,0,0,0,0,0,0,16,16,0,16,0,0,16
5600100,55,0,1,1,1,109,0,0,0,0,109,0,0,0,109,0,109
5600100,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,59,0,0,1,0,0,0,0,0,0,370,0,0,0,0,0,370
5600100,60,0,0,0,0,0,33,33,0,0,33,0,0,0,0,0,33
5600100,64,0,1,1,0,0,0,0,0,0,93,0,0,0,0,0,93
5600100,67,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,116
5600100,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,68,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26
5600100,69,0,0,1,1,0,0,0,0,0,66,0,0,0,0,0,66
5600100,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,73,0,0,0,0,0,0,0,0,0,42,0,0,42,42,0,42
5600100,73,1,0,0,1,0,0,0,0,0,37,0,37,37,37,0,37
5600100,74,0,1,1,1,0,0,0,0,0,145,0,0,0,145,0,145
5600100,75,1,0,1,1,0,0,0,0,0,118,0,0,0,0,0,118
5600100,76,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5600100,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,79,0,0,1,0,0,0,0,0,0,95,0,0,95,0,0,95
5600100,83,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
5600100,84,0,0,1,0,0,0,0,0,0,67,0,0,67,0,0,67
5600100,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,86,0,0,0,1,0,0,0,0,0,254,0,0,0,254,0,254
5600100,87,0,1,1,0,0,0,0,0,0,65,0,0,65,65,0,65
5600100,87,0,1,1,1,0,0,0,0,0,37,0,0,37,37,0,37
5600100,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600100,89,0,0,0,0,0,54,0,0,0,0,54,0,0,0,0,54
5600100,94,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,101
5600100,94,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5600100,95,0,0,0,0,0,0,0,0,0,32,0,0,32,32,0,32
5600100,96,0,0,0,0,0,0,0,0,0,50,0,0,50,50,0,50
5600100,97,0,0,0,0,0,0,0,0,0,20,0,0,20,20,0,20
5600100,97,0,0,0,0,0,0,0,0,0,110,0,110,110,110,0,110
5600100,97,0,0,0,1,0,0,0,0,0,557,0,0,0,0,0,557
5600100,97,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5600100,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
