SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000699,501,0,0,0,0,5600100,20,0,0,0,0,0,20,0,0,20,20,0
2021HU0000877,501,0,0,0,0,5600100,28,0,0,0,0,0,28,0,0,28,0,0
2021HU0001610,222,0,0,1,0,5600300,44,0,0,0,0,0,44,44,0,44,0,44
2021HU0001834,501,0,0,0,0,5600200,69,69,0,0,0,0,69,0,0,0,69,0
2021HU0003462,282,0,0,0,0,5600500,148,0,0,0,0,0,148,148,0,0,0,0
2021HU0004054,501,0,0,0,0,5600100,330,0,0,0,0,0,330,0,0,330,0,0
2021HU0004114,222,0,0,0,0,5600200,20,0,0,0,0,0,20,0,0,20,0,0
2021HU0004680,371,0,0,0,0,5600500,44,44,0,0,0,0,0,0,0,0,0,0
2021HU0005325,203,0,0,0,0,5600500,258,0,0,0,0,0,258,0,0,0,0,0
2021HU0005475,271,0,0,0,0,5600500,41,0,0,0,0,0,41,0,0,0,0,0
2021HU0005538,243,0,0,0,0,5600400,192,0,0,0,0,0,192,192,0,0,0,0
2021HU0005774,374,1,0,1,0,5600300,480,0,0,0,0,0,480,0,0,0,0,0
2021HU0006251,147,0,0,0,0,5600500,17,0,0,17,0,0,17,0,0,0,0,17
2021HU0006377,501,0,0,0,0,5600300,125,0,0,0,0,0,125,0,125,125,0,0
2021HU0007745,124,0,1,1,0,5600300,100,0,0,0,0,0,100,0,0,100,100,0
2021HU0008834,263,0,0,1,0,5600300,195,0,0,195,0,0,195,0,0,0,0,0
2021HU0009335,4,0,0,0,0,5600200,45,0,0,0,0,0,45,0,45,45,0,0
2021HU0009731,428,0,0,0,0,5600300,58,0,0,0,0,0,58,0,0,0,0,0
2021HU0010114,284,0,0,0,0,5600500,270,270,0,0,0,0,270,0,0,0,0,0
2021HU0010316,117,0,0,1,1,5600400,57,0,0,0,0,0,57,0,0,57,57,0
2021HU0011420,164,0,0,0,0,5600100,237,0,0,0,0,0,237,237,0,0,0,237
